# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MISMATCH_REPAIR_PATHWAY	KIRC	IGF2BP3|10643	-	SE	chr7:23381808-23383337:23383472-23385559		4.7357	0.3289	56.25
MISMATCH_REPAIR_PATHWAY	KIRC	AP2A1|160	+	SE	chr19:50305398-50305791:50305856-50306206		3.6863	0.2816	6.25
MISMATCH_REPAIR_PATHWAY	KIRC	ITGB4|3691	+	SE	chr17:73750896-73751136:73751294-73751782		3.6793	-0.3368	25
MISMATCH_REPAIR_PATHWAY	KIRC	SLC5A9|200010	+	A5	chr1:48697823-48698039:48697297-48698039		3.5299	-0.2357	12.5
MISMATCH_REPAIR_PATHWAY	KIRC	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		3.3847	0.3575	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		3.3536	-0.3826	25
MISMATCH_REPAIR_PATHWAY	KIRC	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		3.3422	-0.3796	62.5
MISMATCH_REPAIR_PATHWAY	KIRC	FAM36A|116228	+	SE	chr1:244999058-245005246:245005360-245005497		3.237	0.318	68.75
MISMATCH_REPAIR_PATHWAY	KIRC	CIT|11113	-	A5	chr12:120221855-120221993:120221855-120222764		3.1816	-0.3577	25
MISMATCH_REPAIR_PATHWAY	KIRC	C11orf95|65998	-	SE	chr11:63531341-63531510:63532070-63532340		3.0245	-0.1687	50
MISMATCH_REPAIR_PATHWAY	KIRC	PPFIA3|8541	+	RI	chr19:49653337:49653408-49653514:49654278		2.9838	-0.3022	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	C3orf67|200844	-	A5	chr3:59032980-59035337:59032980-59035661		2.9192	-0.097	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.7399	0.2426	56.25
MISMATCH_REPAIR_PATHWAY	KIRC	CIT|11113	-	A3	chr12:120128259-120135464:120128256-120135464		2.7273	0.3575	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	PPFIA3|8541	+	A3	chr19:49653408-49653493:49653408-49653514		2.7109	-0.296	50
MISMATCH_REPAIR_PATHWAY	KIRC	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.7023	-0.3596	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	RICH2|9912	+	SE	chr17:12888225-12890418:12890469-12893349		2.5941	-0.2747	25
MISMATCH_REPAIR_PATHWAY	KIRC	MBD5|55777	+	A5	chr2:149241704-149243311:149241005-149243311		2.5903	-0.1821	50
MISMATCH_REPAIR_PATHWAY	KIRC	FAM64A|54478	+	SE	chr17:6352727-6353348:6353392-6353682		2.5456	0.1595	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	DEF8|54849	+	SE	chr16:90015222-90015825:90015921-90020651		2.4675	-0.2437	75
MISMATCH_REPAIR_PATHWAY	KIRC	RAD51AP1|10635	+	SE	chr12:4653070-4654948:4654998-4655475		2.4654	0.1407	50
MISMATCH_REPAIR_PATHWAY	KIRC	ZNF584|201514	+	A3	chr19:58920532-58921308:58920532-58921332		2.4497	-0.1513	25
MISMATCH_REPAIR_PATHWAY	KIRC	NDRG2|57447	-	SE	chr14:21491480-21492189:21492255-21493188		2.4179	0.2667	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	CCDC84|338657	+	A5	chr11:118882021-118882649:118881993-118882649		2.4155	-0.2418	50
MISMATCH_REPAIR_PATHWAY	KIRC	C8orf41|80185	-	A5	chr8:33370230-33370478:33370230-33370600		2.3836	-0.1031	18.75
MISMATCH_REPAIR_PATHWAY	KIRC	RADIL|55698	-	A3	chr7:4874870-4875989:4874865-4875989		2.3802	-0.1047	25
MISMATCH_REPAIR_PATHWAY	KIRC	THBS3|7059	-	A5	chr1:155175107-155175984:155175107-155175991		2.3521	-0.1742	25
MISMATCH_REPAIR_PATHWAY	KIRC	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.3424	-0.2561	75
MISMATCH_REPAIR_PATHWAY	KIRC	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		2.3348	-0.191	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	TSNAXIP1|55815	+	A5	chr16:67841288-67848205:67841099-67848205		2.3346	-0.0535	50
MISMATCH_REPAIR_PATHWAY	KIRC	KIAA0174|9798	+	A3	chr16:71956583-71958672:71956583-71958676		2.3343	-0.1516	25
MISMATCH_REPAIR_PATHWAY	KIRC	NT5C3|51251	-	SE	chr7:33066527-33075546:33075600-33102180		2.3231	0.1278	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	EFCAB4A|283229	+	RI	chr11:830866:831032-831224:831295		2.3185	0.2518	25
MISMATCH_REPAIR_PATHWAY	KIRC	BIN2|51411	-	RI	chr12:51695804:51695899-51696470:51696564		2.3177	-0.2193	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	SYTL2|54843	-	SE	chr11:85420543-85422156:85422275-85425456		2.3128	0.2745	50
MISMATCH_REPAIR_PATHWAY	KIRC	RUSC1|23623	+	A5	chr1:155294378-155294636:155294335-155294636		2.3017	0.2637	18.75
MISMATCH_REPAIR_PATHWAY	KIRC	TCF20|6942	-	SE	chr22:42557364-42564615:42564742-42565853		2.299	-0.3129	50
MISMATCH_REPAIR_PATHWAY	KIRC	C19orf29|58509	-	A5	chr19:3613584-3614384:3613584-3614395		2.2889	0.0709	50
MISMATCH_REPAIR_PATHWAY	KIRC	MYBL2|4605	+	SE	chr20:42302539-42310424:42310495-42311434		2.2782	0.2547	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	C15orf27|123591	+	SE	chr15:76430236-76448945:76449099-76452436		2.2721	0.2021	18.75
MISMATCH_REPAIR_PATHWAY	KIRC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.263	0.2364	68.75
MISMATCH_REPAIR_PATHWAY	KIRC	RNF123|63891	+	A5	chr3:49750325-49750946:49750089-49750946		2.261	0.1051	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	ZNF415|55786	-	SE	chr19:53613161-53618463:53618560-53619566		2.2571	-0.105	18.75
MISMATCH_REPAIR_PATHWAY	KIRC	PARP11|57097	-	SE	chr12:3935399-3938076:3938196-3939056		2.2497	-0.0734	62.5
MISMATCH_REPAIR_PATHWAY	KIRC	SEPT4|5414	-	RI	chr17:56603581:56603674-56604043:56604339		2.241	0.0382	87.5
MISMATCH_REPAIR_PATHWAY	KIRC	KSR1|8844	+	A3	chr17:25904665-25909672:25904665-25909952		2.2285	0.0955	50
MISMATCH_REPAIR_PATHWAY	KIRC	RRP12|23223	-	RI	chr10:99130680:99130838-99131830:99131923		2.1809	-0.2196	12.5
MISMATCH_REPAIR_PATHWAY	KIRC	CHEK1|1111	+	SE	chr11:125496728-125497502:125497725-125499127		2.1783	0.1676	50
MISMATCH_REPAIR_PATHWAY	KIRC	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.164	-0.3133	62.5
MISMATCH_REPAIR_PATHWAY	KIRC	SUPT5H|6829	+	A3	chr19:39936277-39936519:39936277-39936522		2.1554	0.1924	25
MISMATCH_REPAIR_PATHWAY	KIRC	ORMDL1|94101	-	SE	chr2:190647328-190647740:190647849-190648995		2.1529	0.2553	43.75
MISMATCH_REPAIR_PATHWAY	KIRC	PTPRC|5788	+	SE	chr1:198668833-198671516:198671659-198672427		2.1527	-0.2051	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	RBM9|23543	-	SE	chr22:36142608-36146473:36146504-36152152		2.1439	-0.1933	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	SLC25A32|81034	-	SE	chr8:104415552-104417004:104417089-104419862		2.1422	0.0538	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	DNHD1|144132	+	A3	chr11:6584794-6584923:6584794-6584992		2.1371	-0.0563	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	KANK2|25959	-	A3	chr19:11289147-11289229:11289123-11289229		2.1351	0.1118	50
MISMATCH_REPAIR_PATHWAY	KIRC	YIPF1|54432	-	SE	chr1:54354659-54354917:54355136-54355386		2.1327	0.1514	25
MISMATCH_REPAIR_PATHWAY	KIRC	RAB24|53917	-	RI	chr5:176730173:176730321-176730408:176730744		2.1299	-0.1436	12.5
MISMATCH_REPAIR_PATHWAY	KIRC	ADNP|23394	-	SE	chr20:49520538-49545188:49545362-49547363		2.1285	0.1991	50
MISMATCH_REPAIR_PATHWAY	KIRC	EIF2B4|8890	-	A3	chr2:27592079-27592281:27592076-27592281		2.1255	-0.0472	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	GPR172B|55065	-	SE	chr17:4936464-4936556:4936679-4936774		2.1101	0.2788	25
MISMATCH_REPAIR_PATHWAY	KIRC	USF2|7392	+	SE	chr19:35760066-35760349:35760395-35760484		2.1005	-0.1349	37.5
MISMATCH_REPAIR_PATHWAY	KIRC	FAM13A|10144	-	SE	chr4:89859392-89912124:89912301-89941611		2.0992	0.0718	25
MISMATCH_REPAIR_PATHWAY	KIRC	ST3GAL3|6487	+	A5	chr1:44364961-44395804:44364935-44395804		2.0987	0.0308	12.5
MISMATCH_REPAIR_PATHWAY	KIRC	JAKMIP2|9832	-	SE	chr5:147012341-147015785:147015847-147016528		2.0969	0.0158	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	CACNA1D|776	+	SE	chr3:53835452-53836174:53836200-53837450		2.095	0.0592	31.25
MISMATCH_REPAIR_PATHWAY	KIRC	ZBTB38|253461	+	SE	chr3:141122873-141157110:141157207-141161231		2.094	-0.2529	31.25
