# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SPLICEOSOME	LUAD	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		5.7208	-0.4619	18.75
SPLICEOSOME	LUAD	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		5.2864	0.4886	56.25
SPLICEOSOME	LUAD	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		4.9586	-0.3824	43.75
SPLICEOSOME	LUAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		4.7025	-0.4623	75
SPLICEOSOME	LUAD	DNAH5|1767	-	A3	chr5:13919510-13920589:13919461-13920589		4.6188	0.4155	62.5
SPLICEOSOME	LUAD	FRMD8|83786	+	SE	chr11:65156999-65161044:65161145-65161512		4.361	-0.4707	68.75
SPLICEOSOME	LUAD	FBLN2|2199	+	SE	chr3:13661331-13663275:13663415-13667945		4.2783	-0.4591	31.25
SPLICEOSOME	LUAD	FAM160A2|84067	-	A5	chr11:6239380-6239788:6239380-6239830		4.2371	0.3641	31.25
SPLICEOSOME	LUAD	COL6A3|1293	-	SE	chr2:238296827-238303230:238303847-238305370		4.2147	-0.4402	37.5
SPLICEOSOME	LUAD	FES|2242	+	SE	chr15:91433714-91434212:91434421-91434784		4.2015	-0.3638	50
SPLICEOSOME	LUAD	HMGA1|3159	+	SE	chr6:34204740-34204981:34205094-34208514		4.1002	-0.3841	50
SPLICEOSOME	LUAD	LTBP4|8425	+	SE	chr19:41116563-41117058:41117300-41117765		4.0669	-0.4581	75
SPLICEOSOME	LUAD	SLC37A2|219855	+	SE	chr11:124953773-124954130:124954215-124954721		4.0534	-0.3849	56.25
SPLICEOSOME	LUAD	KLHDC5|57542	+	SE	chr12:27944834-27950180:27950282-27950648		4.0505	0.4506	43.75
SPLICEOSOME	LUAD	C21orf58|54058	-	SE	chr21:47738134-47738699:47738875-47742553		3.9331	0.3102	18.75
SPLICEOSOME	LUAD	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		3.9191	-0.4207	56.25
SPLICEOSOME	LUAD	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133		3.8656	-0.4631	56.25
SPLICEOSOME	LUAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		3.792	-0.4159	50
SPLICEOSOME	LUAD	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		3.6646	-0.39	50
SPLICEOSOME	LUAD	RCC1|1104	+	SE	chr1:28856451-28857035:28857085-28858315		3.5492	-0.4601	56.25
SPLICEOSOME	LUAD	MCM10|55388	+	A3	chr10:13214480-13214625:13214480-13214628		3.5444	0.2451	62.5
SPLICEOSOME	LUAD	SETD5|55209	+	SE	chr3:9470693-9471511:9471735-9475529		3.464	0.3121	37.5
SPLICEOSOME	LUAD	CUTA|51596	-	A5	chr6:33385472-33385646:33385472-33385864		3.4095	-0.3491	18.75
SPLICEOSOME	LUAD	KANK1|23189	+	SE	chr9:734835-735712:735780-738285		3.38	0.4437	81.25
SPLICEOSOME	LUAD	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		3.3529	-0.401	81.25
SPLICEOSOME	LUAD	DUSP22|56940	+	RI	chr6:348769:348841-350822:351353		3.3359	-0.3363	68.75
SPLICEOSOME	LUAD	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		3.3334	-0.3778	50
SPLICEOSOME	LUAD	CDADC1|81602	+	A3	chr13:49830049-49833482:49830049-49833622		3.3327	-0.4052	37.5
SPLICEOSOME	LUAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.3234	-0.4405	75
SPLICEOSOME	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		3.2287	0.3407	68.75
SPLICEOSOME	LUAD	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		3.2279	-0.3672	43.75
SPLICEOSOME	LUAD	SLAMF7|57823	+	MX	chr1:160709146-160717984:160718304-160721976:160709146-160719611:160719883-160721976		3.2274	0.2894	18.75
SPLICEOSOME	LUAD	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		3.1841	-0.425	25
SPLICEOSOME	LUAD	PQBP1|10084	+	SE	chrX:48759319-48759496:48759794-48760009		3.1549	-0.3319	50
SPLICEOSOME	LUAD	CCDC88A|55704	-	A3	chr2:55555571-55559702:55555568-55559702		3.1363	0.4299	56.25
SPLICEOSOME	LUAD	PPP1CA|5499	-	SE	chr11:67168390-67168539:67168703-67169199	Observed	3.1124	-0.3622	43.75
