# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SMO|6608	+	RI	chr7:128851477:128851611-128851865:128853383		3.4883	0.6981	75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	PKN1|5585	+	RI	chr19:14578377:14578453-14578530:14578605		3.2874	0.6384	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	WDR90|197335	+	A3	chr16:712331-712673:712331-712679		3.2541	0.6799	68.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	PLCG1|5335	+	RI	chr20:39802060:39802174-39802292:39802453		3.0478	0.6851	75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	NAP1L1|4673	-	RI	chr12:76438672:76441498-76442201:76442244		3.0311	-0.6826	31.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	PLXNB3|5365	+	SE	chrX:153031035-153032328:153033368-153033704		2.9987	-0.6067	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.901	0.5478	81.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	LARS2|23395	+	SE	chr3:45430172-45433075:45433140-45435925		2.9004	-0.6085	56.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	RPRD2|23248	+	SE	chr1:150413499-150414357:150414434-150415707		2.8952	-0.5002	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SETD8|387893	+	SE	chr12:123868755-123873980:123874101-123875177		2.8902	-0.6107	56.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	C14orf135|64430	+	SE	chr14:60592541-60600374:60600503-60600688		2.8805	0.6878	81.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SYNGAP1|8831	+	A3	chr6:33414563-33415607:33414563-33415620		2.831	0.6607	75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388		2.8258	0.5134	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	MAST2|23139	+	A3	chr1:46499938-46500210:46499938-46500499		2.8195	-0.6426	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SCRIB|23513	-	RI	chr8:144874655:144874805-144874878:144875037		2.7494	0.5965	62.5
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ATXN2L|11273	+	A3	chr16:28846720-28846867:28846720-28846870		2.7081	0.6728	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	PGAP3|93210	-	SE	chr17:37829508-37829767:37829903-37830246		2.6823	-0.6588	25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ZNF90|7643	+	SE	chr19:20188944-20215048:20215174-20216030		2.6556	-0.3244	62.5
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	MAST2|23139	+	RI	chr1:46497850:46497933-46497999:46498076		2.6457	-0.6426	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ZNF438|220929	-	RI	chr10:31137460:31138372-31139151:31139296		2.6419	-0.5396	62.5
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	OSBPL5|114879	-	A5	chr11:3140861-3141651:3140861-3141774		2.6361	-0.5937	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	GIT2|9815	-	SE	chr12:110370995-110371827:110371890-110376185		2.6107	-0.6713	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	MAST2|23139	+	SE	chr1:46474043-46476402:46476611-46485268		2.5499	-0.6474	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	INPP4A|3631	+	A5	chr2:99172271-99175926:99172154-99175926		2.5258	0.2213	31.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ATP2B1|490	-	SE	chr12:89985072-89992369:89992520-89992894		2.5174	0.6756	56.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	RPAP1|26015	-	SE	chr15:41814448-41814963:41815158-41815443		2.5037	-0.6846	68.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	IPO4|79711	-	A5	chr14:24649778-24649889:24649778-24649895		2.4958	0.6609	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	DCAF8|50717	-	A5	chr1:160231148-160232066:160231148-160232239		2.4789	-0.5553	50
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	GALNT11|63917	+	SE	chr7:151722969-151791275:151791607-151797883		2.4723	-0.6642	56.25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	HDAC7|51564	-	SE	chr12:48183131-48183306:48183361-48183596		2.4672	-0.6728	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SCAMP5|192683	+	SE	chr15:75305146-75308934:75309090-75310211		2.4497	-0.5014	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	DGKD|8527	+	SE	chr2:234360706-234363003:234363110-234363409		2.4315	0.6585	68.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	KIAA0913|23053	+	A5	chr10:75559952-75560054:75559928-75560054		2.3895	-0.6654	25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	ATP2A3|489	-	SE	chr17:3828735-3831521:3831621-3831957		2.3891	0.0299	25
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	TMEM44|93109	-	A3	chr3:194325174-194331645:194325170-194331645		2.37	-0.4533	43.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	SYNGAP1|8831	+	SE	chr6:33409536-33410230:33410271-33410666		2.3599	0.629	68.75
EUKARYOTIC_TRANSLATION_INITIATION	PRAD	PNPLA6|10908	+	A5	chr19:7622174-7623736:7622170-7623736		2.3439	0.6948	75
