# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
SNRNP_ASSEMBLY	LUSC	TOR2A|27433	-	SE	chr9:130495839-130496578:130496843-130497399		5.0909	-0.4633	75
SNRNP_ASSEMBLY	LUSC	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		4.7262	-0.5136	81.25
SNRNP_ASSEMBLY	LUSC	MPI|4351	+	SE	chr15:75188666-75189352:75189560-75189853		4.4135	-0.3664	18.75
SNRNP_ASSEMBLY	LUSC	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		4.1814	-0.4299	68.75
SNRNP_ASSEMBLY	LUSC	C17orf56|146705	-	SE	chr17:79205821-79206115:79206318-79207232		4.029	-0.4391	68.75
SNRNP_ASSEMBLY	LUSC	POLD4|57804	-	A5	chr11:67120548-67120774:67120548-67121010		3.7836	-0.44	50
SNRNP_ASSEMBLY	LUSC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		3.5017	-0.3643	43.75
SNRNP_ASSEMBLY	LUSC	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		3.4748	-0.3958	62.5
SNRNP_ASSEMBLY	LUSC	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		3.4746	-0.3362	56.25
SNRNP_ASSEMBLY	LUSC	SNED1|25992	+	SE	chr2:242011293-242012681:242012779-242021092		3.454	-0.3866	56.25
SNRNP_ASSEMBLY	LUSC	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		3.4125	-0.4188	43.75
SNRNP_ASSEMBLY	LUSC	NAV2|89797	+	SE	chr11:20070741-20071382:20071447-20072835		3.2117	-0.129	37.5
SNRNP_ASSEMBLY	LUSC	BRCA1|672	-	A5	chr17:41243049-41243452:41243049-41246761		3.1752	-0.2803	37.5
SNRNP_ASSEMBLY	LUSC	ARID5A|10865	+	SE	chr2:97213254-97215058:97215196-97215490		3.1459	-0.3372	31.25
SNRNP_ASSEMBLY	LUSC	WSB1|26118	+	A3	chr17:25633908-25634770:25633908-25636126		3.1252	-0.4649	68.75
