# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		5.4119	-0.5193	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.5809	-0.4055	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	FGFR1|2260	-	SE	chr8:38285953-38287200:38287466-38314874		4.3602	-0.4042	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		4.0228	-0.4239	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ARNT|405	-	SE	chr1:150812130-150814900:150814944-150818739		3.5326	0.3457	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		3.3731	0.3427	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		3.3194	-0.4389	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.1839	0.4236	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.0603	0.3791	93.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ABLIM2|84448	-	SE	chr4:8031503-8034375:8034407-8037876		2.9284	-0.3777	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PDGFA|5154	-	SE	chr7:538211-540068:540136-540753		2.7666	-0.3652	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	FAM176A|84141	-	SE	chr2:75749613-75753238:75753325-75787806		2.7213	0.2811	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	CCDC50|152137	+	SE	chr3:191087825-191092851:191093378-191097948		2.7184	-0.5061	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PLSCR1|5359	-	SE	chr3:146243434-146246401:146246618-146251257		2.717	0.3816	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332		2.4828	0.2969	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		2.4185	-0.0714	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		2.4108	-0.2663	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PDLIM5|10611	+	A3	chr4:95494544-95496767:95494544-95497094		2.4019	-0.3341	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	MYL6|4637	+	SE	chr12:56554104-56554410:56554454-56555171		2.3869	0.2901	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	TBC1D15|64786	+	SE	chr12:72287104-72288105:72288155-72288466		2.3141	-0.3287	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	C20orf112|140688	-	A3	chr20:31052937-31062404:31052920-31062404		2.3085	0.3018	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		2.2657	0.2087	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		2.2154	-0.3849	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SIGLEC10|89790	-	SE	chr19:51917769-51918078:51918362-51918435		2.0411	0.1441	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PDLIM4|8572	+	SE	chr5:131607159-131607484:131607601-131607718		2.0286	-0.3065	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		2.0257	-0.3318	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PSD4|23550	+	RI	chr2:113942942:113943017-113943239:113943832		2.0072	0.0923	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SGCD|6444	+	SE	chr5:155754242-155756544:155756589-155771499		2.0056	0.0103	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		1.9998	0.388	87.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	AFF2|2334	+	SE	chrX:147891444-147919171:147919257-147924490		1.9944	0.1883	18.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PCDH19|57526	-	A3	chrX:99597073-99605644:99597070-99605644		1.9578	-0.0356	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	TBC1D23|55773	+	SE	chr3:100029386-100030677:100030721-100034943		1.9516	0.4162	100
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RGS4|5999	+	SE	chr1:163042656-163043246:163043412-163044111		1.9506	0.1635	75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ATP1A2|477	+	A3	chr1:160106160-160106360:160106160-160106411		1.9456	0.2474	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		1.926	-0.1532	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PRPSAP2|5636	+	SE	chr17:18769265-18770595:18770647-18775896		1.9186	0.2295	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ELN|2006	+	A3	chr7:73472026-73474198:73472026-73474216		1.908	-0.2216	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RALGAPA2|57186	-	SE	chr20:20373897-20377339:20377378-20392671		1.9024	0.1103	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RIF1|55183	+	SE	chr2:152324660-152324988:152325065-152325155		1.9006	0.1331	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ZNF711|7552	+	SE	chrX:84501028-84501936:84502189-84502553		1.8984	0.2722	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	EPB41L2|2037	-	A5	chr6:131188721-131190703:131188721-131190952		1.8921	0.2012	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ZFP14|57677	-	A3	chr19:36851438-36853014:36851435-36853014		1.892	0.0098	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	POPDC2|64091	-	SE	chr3:119361408-119362214:119362296-119367107		1.8791	-0.3414	68.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RNF32|140545	+	A3	chr7:156468557-156468989:156468557-156469113		1.8777	0.248	43.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SORBS2|8470	-	SE	chr4:186556565-186560031:186560189-186567822		1.8712	-0.151	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	MAPK7|5598	+	A5	chr17:19281943-19282209:19281855-19282209		1.8391	0.0892	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	DMKN|93099	-	SE	chr19:35996888-35997028:35997087-35999107		1.8294	0.1143	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	TRIM22|10346	+	A3	chr11:5717885-5718478:5717885-5719545		1.8166	-0.1783	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	TDRKH|11022	-	A5	chr1:151755525-151762856:151755525-151762881		1.8165	-0.0252	18.75
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ANO10|55129	-	SE	chr3:43616356-43618184:43618753-43621845		1.8159	0.3018	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	FAIM3|9214	-	SE	chr1:207086387-207087104:207087439-207095163		1.8159	0.2504	62.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PLSCR3|57048	-	SE	chr17:7296271-7296463:7296683-7296786		1.8102	0.0943	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		1.8085	-0.2373	56.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ADORA1|134	+	SE	chr1:203097056-203097406:203097560-203097913		1.8041	-0.1765	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	PPHLN1|51535	+	SE	chr12:42720031-42726462:42726504-42729685		1.7959	-0.032	50
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	TMOD2|29767	+	SE	chr15:52073371-52074918:52075025-52090394		1.7885	0.1395	31.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	RSPRY1|89970	+	A5	chr16:57220697-57238416:57220363-57238416		1.7809	0.0367	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	SEC31A|22872	-	SE	chr4:83750211-83752090:83752128-83763293		1.7778	-0.1934	37.5
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	MFAP2|4237	-	A3	chr1:17303693-17304732:17303690-17304732		1.7426	0.0787	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	AURKB|9212	-	A5	chr17:8109957-8110058:8109957-8110068		1.7372	-0.0096	6.25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ZDHHC11|79844	-	A3	chr5:837595-840610:837593-840610		1.7372	0.0225	25
TRANSFORMING_GROWTH_FACTOR_BETA_BINDING	THCA	ARFIP2|23647	-	SE	chr11:6501298-6501553:6501693-6502461		1.7371	-0.0379	12.5
