# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TGF_BETA_PATHWAY	THCA	ATXN2L|11273	+	A3	chr16:28846720-28846867:28846720-28846870		6.1122	-0.7628	62.5
TGF_BETA_PATHWAY	THCA	GIT2|9815	-	SE	chr12:110377052-110383065:110383154-110385061		4.9684	0.7851	68.75
TGF_BETA_PATHWAY	THCA	GPBP1|65056	+	SE	chr5:56510020-56517203:56517223-56526673		4.6151	-0.7717	81.25
TGF_BETA_PATHWAY	THCA	MLL3|58508	-	A5	chr7:151855010-151855942:151855010-151855948		4.4486	0.6853	62.5
TGF_BETA_PATHWAY	THCA	PHF3|23469	+	SE	chr6:64390062-64394030:64395812-64401627		4.4057	0.7813	81.25
TGF_BETA_PATHWAY	THCA	RNF123|63891	+	A5	chr3:49742619-49742967:49742615-49742967		4.2956	-0.7467	68.75
TGF_BETA_PATHWAY	THCA	MBNL1|4154	+	MX	chr3:152165562-152173331:152173366-152177060:152165562-152174056:152174150-152177060		4.2689	-0.7571	62.5
TGF_BETA_PATHWAY	THCA	JHDM1D|80853	-	SE	chr7:139793938-139795418:139795511-139796355		4.1035	-0.7698	75
TGF_BETA_PATHWAY	THCA	HP1BP3|50809	-	A3	chr1:21076468-21083659:21076375-21083659		4.0286	-0.7674	68.75
TGF_BETA_PATHWAY	THCA	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		3.9669	-0.7336	87.5
TGF_BETA_PATHWAY	THCA	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891		3.9533	-0.7268	68.75
TGF_BETA_PATHWAY	THCA	CSDE1|7812	-	SE	chr1:115282511-115292442:115292828-115300546		3.9439	0.7844	75
TGF_BETA_PATHWAY	THCA	TBC1D5|9779	-	SE	chr3:17300083-17333387:17333493-17349484		3.9146	0.7764	87.5
TGF_BETA_PATHWAY	THCA	EXOC6|54536	+	SE	chr10:94757372-94759007:94759144-94773951		3.8744	-0.7786	87.5
TGF_BETA_PATHWAY	THCA	RALGAPB|57148	+	A3	chr20:37121775-37125996:37121775-37126123		3.8641	0.7621	56.25
TGF_BETA_PATHWAY	THCA	NF2|4771	+	A3	chr22:30077590-30078968:30077590-30079009		3.8278	-0.737	62.5
TGF_BETA_PATHWAY	THCA	TMEM104|54868	+	A3	chr17:72815982-72832066:72815982-72835026		3.7785	0.6981	68.75
TGF_BETA_PATHWAY	THCA	PPP3CC|5533	+	SE	chr8:22390531-22396982:22397011-22398128		3.7773	-0.6529	68.75
TGF_BETA_PATHWAY	THCA	RABGEF1|27342	+	RI	chr7:66273873:66274377-66274378:66276446		3.761	-0.6618	75
TGF_BETA_PATHWAY	THCA	CD109|135228	+	SE	chr6:74433002-74440067:74440297-74446106		3.7164	0.6371	31.25
TGF_BETA_PATHWAY	THCA	ATXN2L|11273	+	RI	chr16:28847254:28847443-28848049:28848556		3.6124	-0.626	56.25
TGF_BETA_PATHWAY	THCA	RNF123|63891	+	A5	chr3:49750325-49750946:49750089-49750946		3.6074	-0.7467	75
TGF_BETA_PATHWAY	THCA	NUFIP2|57532	-	SE	chr17:27594548-27613010:27614734-27620801		3.5749	0.7569	37.5
TGF_BETA_PATHWAY	THCA	PION|54103	-	RI	chr7:76958650:76958708-76959556:76959684		3.5567	-0.5805	56.25
TGF_BETA_PATHWAY	THCA	HECTD1|25831	-	A5	chr14:31590711-31592120:31590711-31592126		3.5482	0.7475	68.75
TGF_BETA_PATHWAY	THCA	BRAP|8315	-	SE	chr12:112103591-112110465:112110578-112116955		3.4979	0.6359	37.5
TGF_BETA_PATHWAY	THCA	MEF2A|4205	+	SE	chr15:100173378-100185766:100185969-100211528		3.4713	0.7282	68.75
TGF_BETA_PATHWAY	THCA	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856		3.4709	-0.7825	75
TGF_BETA_PATHWAY	THCA	NCOA1|8648	+	A3	chr2:24991004-24991090:24991004-24991093		3.4691	0.7419	75
TGF_BETA_PATHWAY	THCA	USP36|57602	-	A3	chr17:76793984-76794482:76793961-76794482		3.4616	-0.7677	37.5
TGF_BETA_PATHWAY	THCA	ABLIM2|84448	-	SE	chr4:8031503-8034375:8034407-8037876		3.4587	-0.5004	50
TGF_BETA_PATHWAY	THCA	XKR5|389610	-	SE	chr8:6682871-6686691:6686828-6690239		3.4411	-0.2793	12.5
TGF_BETA_PATHWAY	THCA	C14orf101|54916	+	SE	chr14:57085481-57088249:57088420-57092100		3.4386	0.7098	81.25
TGF_BETA_PATHWAY	THCA	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		3.4061	-0.5899	56.25
TGF_BETA_PATHWAY	THCA	PPP1R13B|23368	-	SE	chr14:104202539-104204031:104204197-104205016		3.405	0.7724	50
TGF_BETA_PATHWAY	THCA	EI24|9538	+	SE	chr11:125442465-125445159:125445304-125446151		3.3958	0.6631	43.75
TGF_BETA_PATHWAY	THCA	MYO1B|4430	+	SE	chr2:192265194-192267358:192267444-192272841		3.3835	-0.7395	56.25
TGF_BETA_PATHWAY	THCA	KIAA0652|9776	+	RI	chr11:46693805:46694313-46694316:46696367		3.3727	-0.6116	56.25
TGF_BETA_PATHWAY	THCA	KIAA1217|56243	+	SE	chr10:24825822-24831622:24831699-24833910		3.3528	0.5121	37.5
TGF_BETA_PATHWAY	THCA	TRAPPC10|7109	+	A3	chr21:45506841-45507580:45506841-45507703		3.3501	0.7744	56.25
TGF_BETA_PATHWAY	THCA	NPHP3|27031	-	SE	chr3:132413809-132415575:132415657-132416104		3.3063	0.6834	75
TGF_BETA_PATHWAY	THCA	PCM1|5108	+	SE	chr8:17830196-17838100:17838264-17842956		3.2981	0.7537	68.75
TGF_BETA_PATHWAY	THCA	TANC2|26115	+	SE	chr17:61489491-61490041:61490070-61490904		3.2915	-0.7228	50
TGF_BETA_PATHWAY	THCA	FBXO11|80204	-	SE	chr2:48046217-48047501:48047595-48049357		3.2606	0.7756	81.25
TGF_BETA_PATHWAY	THCA	KIAA0664|23277	-	RI	chr17:2597194:2597333-2597417:2597570		3.2547	-0.7149	62.5
TGF_BETA_PATHWAY	THCA	ABCA5|23461	-	A5	chr17:67267430-67270084:67267430-67270100		3.2503	-0.371	43.75
TGF_BETA_PATHWAY	THCA	ANKRD13A|88455	+	SE	chr12:110468563-110471602:110471762-110474066		3.2411	0.7417	50
TGF_BETA_PATHWAY	THCA	ERC1|23085	+	SE	chr12:1517413-1519555:1519619-1553728		3.2371	-0.7729	75
TGF_BETA_PATHWAY	THCA	PITRM1|10531	-	A5	chr10:3190255-3190360:3190255-3190363		3.1967	-0.6942	62.5
TGF_BETA_PATHWAY	THCA	LRDD|55367	-	A3	chr11:803647-804094:803587-804094		3.1712	-0.1528	25
TGF_BETA_PATHWAY	THCA	RASGEF1B|153020	-	SE	chr4:82377942-82378653:82378775-82380486		3.1283	0.4314	31.25
TGF_BETA_PATHWAY	THCA	TEX10|54881	-	RI	chr9:103108976:103109160-103109449:103109688		3.1077	0.7371	93.75
TGF_BETA_PATHWAY	THCA	RARG|5916	-	SE	chr12:53609578-53621146:53621471-53624953		3.1065	-0.0081	50
TGF_BETA_PATHWAY	THCA	TDRD3|81550	+	A3	chr13:61057980-61059933:61057980-61059936		3.1007	0.648	43.75
TGF_BETA_PATHWAY	THCA	SLC12A6|9990	-	A5	chr15:34529016-34529591:34529016-34529620		3.0939	-0.7608	62.5
TGF_BETA_PATHWAY	THCA	ZNF720|124411	+	A5	chr16:31724769-31765087:31724756-31765087		3.0935	0.5221	43.75
TGF_BETA_PATHWAY	THCA	FBXL5|26234	-	SE	chr4:15640317-15642411:15642506-15646116		3.0909	0.7666	68.75
TGF_BETA_PATHWAY	THCA	SOS1|6654	-	SE	chr2:39214732-39216411:39216455-39222264		3.0828	0.7629	62.5
TGF_BETA_PATHWAY	THCA	GNB4|59345	-	SE	chr3:179119107-179122978:179123194-179131200		3.0823	0.7383	68.75
TGF_BETA_PATHWAY	THCA	ABCC10|89845	+	RI	chr6:43410708:43410897-43411671:43411748		3.0383	-0.6662	56.25
TGF_BETA_PATHWAY	THCA	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967		3.0278	0.7347	68.75
TGF_BETA_PATHWAY	THCA	PRPF4B|8899	+	A5	chr6:4060920-4061249:4060878-4061249		3.0217	0.7694	87.5
TGF_BETA_PATHWAY	THCA	OCRL|4952	+	SE	chrX:128722990-128723822:128723933-128724123		3.0097	0.7824	75
TGF_BETA_PATHWAY	THCA	TLN2|83660	+	RI	chr15:63045972:63046115-63047731:63047892		2.9938	-0.6252	37.5
TGF_BETA_PATHWAY	THCA	IDS|3423	-	RI	chrX:148560297:148560831-148560833:148564749		2.9892	-0.7347	62.5
TGF_BETA_PATHWAY	THCA	PLXDC1|57125	-	A3	chr17:37235781-37239712:37235417-37239712		2.9704	-0.3006	68.75
TGF_BETA_PATHWAY	THCA	GUF1|60558	+	SE	chr4:44696530-44697632:44697751-44699425		2.9697	0.7445	56.25
TGF_BETA_PATHWAY	THCA	BCLAF1|9774	-	SE	chr6:136582615-136588167:136588313-136589300		2.9637	0.5987	31.25
TGF_BETA_PATHWAY	THCA	CHD1|1105	-	RI	chr5:98207755:98207905-98208121:98208259		2.9554	-0.7744	87.5
TGF_BETA_PATHWAY	THCA	UVRAG|7405	+	SE	chr11:75827059-75848238:75848496-75851755		2.9529	-0.6558	43.75
TGF_BETA_PATHWAY	THCA	ARHGAP4|393	-	RI	chrX:153175625:153175858-153175960:153176065		2.9424	-0.6052	68.75
TGF_BETA_PATHWAY	THCA	SLC17A5|26503	-	SE	chr6:74325170-74331527:74331685-74345105		2.9411	0.776	68.75
TGF_BETA_PATHWAY	THCA	BIRC2|329	+	A3	chr11:102218107-102219329:102218107-102220732		2.9205	0.7422	68.75
TGF_BETA_PATHWAY	THCA	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		2.9161	-0.7251	68.75
TGF_BETA_PATHWAY	THCA	RAF1|5894	-	SE	chr3:12645788-12647700:12647798-12650265		2.9124	0.7571	68.75
TGF_BETA_PATHWAY	THCA	POLH|5429	+	SE	chr6:43544177-43550053:43550193-43550744		2.9018	-0.6677	43.75
TGF_BETA_PATHWAY	THCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		2.8953	-0.4741	81.25
TGF_BETA_PATHWAY	THCA	APBB2|323	-	SE	chr4:40936716-40937094:40937156-40946882		2.8918	0.6865	62.5
TGF_BETA_PATHWAY	THCA	KIAA0195|9772	+	RI	chr17:73494525:73494619-73494710:73494803		2.8871	-0.73	50
TGF_BETA_PATHWAY	THCA	KIAA0319L|79932	-	A3	chr1:35917392-35919158:35917377-35919158		2.8827	-0.7903	68.75
TGF_BETA_PATHWAY	THCA	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.8729	0.5236	62.5
TGF_BETA_PATHWAY	THCA	MLL3|58508	-	SE	chr7:151853431-151854846:151855010-151855948		2.871	-0.5233	31.25
TGF_BETA_PATHWAY	THCA	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		2.8644	-0.7587	50
TGF_BETA_PATHWAY	THCA	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		2.8491	-0.7107	81.25
TGF_BETA_PATHWAY	THCA	KIAA1529|57653	+	SE	chr9:100124723-100126300:100126410-100127955		2.8464	0.3954	31.25
TGF_BETA_PATHWAY	THCA	PDCL|5082	-	A3	chr9:125583098-125585295:125582915-125585295		2.8272	-0.5138	56.25
TGF_BETA_PATHWAY	THCA	DIAPH1|1729	-	SE	chr5:140966764-140967791:140967817-140998365		2.8099	0.4237	50
TGF_BETA_PATHWAY	THCA	TDRD3|81550	+	A3	chr13:61141784-61147747:61141784-61147750		2.8023	-0.6384	56.25
TGF_BETA_PATHWAY	THCA	ZMYM1|79830	+	SE	chr1:35545043-35558995:35559042-35559515		2.7992	0.4986	37.5
TGF_BETA_PATHWAY	THCA	SCAP|22937	-	A3	chr3:47459316-47459624:47459313-47459624		2.7921	0.7597	81.25
TGF_BETA_PATHWAY	THCA	KPNA6|23633	+	SE	chr1:32623962-32625001:32625132-32626216		2.7835	0.7728	75
TGF_BETA_PATHWAY	THCA	SPIRE1|56907	-	SE	chr18:12535600-12546673:12546903-12635061		2.7803	0.7301	68.75
TGF_BETA_PATHWAY	THCA	RASSF4|83937	+	RI	chr10:45465613:45465712-45467221:45467296		2.7758	-0.2571	50
