# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
BASEMENT_MEMBRANE	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		11.2819	-0.6775	100
BASEMENT_MEMBRANE	BRCA	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		11.2422	0.6028	81.25
BASEMENT_MEMBRANE	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		10.8633	-0.6423	93.75
BASEMENT_MEMBRANE	BRCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		10.8174	0.6892	87.5
BASEMENT_MEMBRANE	BRCA	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		9.3229	-0.5068	62.5
BASEMENT_MEMBRANE	BRCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		8.6408	-0.6027	62.5
BASEMENT_MEMBRANE	BRCA	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		8.6388	0.4074	50
BASEMENT_MEMBRANE	BRCA	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		8.5399	0.6059	75
BASEMENT_MEMBRANE	BRCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		7.7424	-0.5804	75
BASEMENT_MEMBRANE	BRCA	NCOR2|9612	-	A3	chr12:124846843-124848225:124846840-124848225		7.6127	0.5857	75
BASEMENT_MEMBRANE	BRCA	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		7.4575	-0.4179	75
BASEMENT_MEMBRANE	BRCA	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		7.2806	0.5061	100
BASEMENT_MEMBRANE	BRCA	NCOR2|9612	-	SE	chr12:124857156-124858959:124859009-124862783		6.7779	-0.583	50
BASEMENT_MEMBRANE	BRCA	SGCD|6444	+	SE	chr5:155754242-155756544:155756589-155771499		6.6249	0.3379	75
BASEMENT_MEMBRANE	BRCA	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		6.5825	0.4406	68.75
BASEMENT_MEMBRANE	BRCA	EHBP1|23301	+	SE	chr2:63206470-63215066:63215173-63217851		6.5236	-0.5342	37.5
BASEMENT_MEMBRANE	BRCA	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		6.4082	-0.4241	81.25
BASEMENT_MEMBRANE	BRCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		6.3898	-0.5027	68.75
