# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
DNA_REPLICATION_PATHWAY	HNSC	POLDIP3|84271	-	SE	chr22:42995799-42997976:42998062-42998776	Observed	2.5966	-0.3446	43.75
DNA_REPLICATION_PATHWAY	HNSC	NF1|4763	+	SE	chr17:29576137-29579956:29580018-29585362	Observed	2.1394	-0.2049	68.75
DNA_REPLICATION_PATHWAY	HNSC	CHEK1|1111	+	A5	chr11:125496537-125496644:125496470-125496644	Observed	1.623	-0.2603	56.25
DNA_REPLICATION_PATHWAY	HNSC	SMC2|10592	+	A5	chr9:106856767-106857605:106856758-106857605	Observed	1.5272	-0.0236	56.25
DNA_REPLICATION_PATHWAY	HNSC	PRKDC|5591	-	SE	chr8:48691654-48694723:48694815-48694939	Observed	1.2713	0.1383	62.5
DNA_REPLICATION_PATHWAY	HNSC	STAU2|27067	-	SE	chr8:74334937-74439926:74440039-74464247	Observed	1.2041	0.0884	62.5
DNA_REPLICATION_PATHWAY	HNSC	ZNF266|10781	-	SE	chr19:9530894-9545474:9545535-9545784	Observed	1.2015	0.0388	56.25
DNA_REPLICATION_PATHWAY	HNSC	NF1|4763	+	SE	chr17:29490394-29496909:29497015-29508440	Observed	0.8769	-0.26	62.5
DNA_REPLICATION_PATHWAY	HNSC	CDC7|8317	+	SE	chr1:91981433-91985687:91985836-91989598	Observed	0.7035	-0.2054	56.25
DNA_REPLICATION_PATHWAY	HNSC	CDC25C|995	-	SE	chr5:137664218-137665242:137665336-137666676	Observed	0.0063	-0.0497	62.5
