# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	LIHC	ISOC2|79763	-	SE	chr19:55966697-55967003:55967212-55967716		3.5185	-0.4717	43.75
MRNA_PROCESSING	LIHC	GPSM2|29899	+	A3	chr1:109419850-109427897:109419850-109428129		3.5103	-0.4949	43.75
MRNA_PROCESSING	LIHC	KHK|3795	+	MX	chr2:27315316-27317345:27317479-27319597:27315316-27317668:27317802-27319597		3.4298	0.4516	25
MRNA_PROCESSING	LIHC	ZDHHC16|84287	+	SE	chr10:99213420-99213556:99213603-99214471		3.1576	-0.3485	37.5
MRNA_PROCESSING	LIHC	MEMO1|51072	-	SE	chr2:32095021-32108455:32108531-32117061		3.1519	-0.3922	6.25
MRNA_PROCESSING	LIHC	SCP2|6342	+	A3	chr1:53480715-53493641:53480715-53493650		3.0497	-0.3451	25
MRNA_PROCESSING	LIHC	THNSL2|55258	+	SE	chr2:88469975-88472658:88472892-88474158		3.0078	-0.3669	31.25
MRNA_PROCESSING	LIHC	ZNF410|57862	+	SE	chr14:74387808-74388769:74388909-74390098		2.921	-0.2998	31.25
MRNA_PROCESSING	LIHC	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		2.8402	-0.4404	43.75
MRNA_PROCESSING	LIHC	ACMSD|130013	+	SE	chr2:135616927-135619539:135619588-135620965		2.8046	-0.4314	12.5
MRNA_PROCESSING	LIHC	ACMSD|130013	+	SE	chr2:135596309-135601935:135602041-135602803		2.8037	0.4313	12.5
MRNA_PROCESSING	LIHC	RPN2|6185	+	SE	chr20:35812776-35827453:35827628-35832288		2.7939	-0.406	81.25
MRNA_PROCESSING	LIHC	H2AFY|9555	-	MX	chr5:134681747-134686513:134686603-134696187:134681747-134688636:134688735-134696187		2.7005	-0.3551	12.5
MRNA_PROCESSING	LIHC	PPHLN1|51535	+	SE	chr12:42768876-42778742:42778798-42781258		2.6312	-0.4096	18.75
MRNA_PROCESSING	LIHC	INO80E|283899	+	SE	chr16:30012361-30012735:30012851-30016542		2.6059	-0.3308	31.25
MRNA_PROCESSING	LIHC	C16orf13|84326	-	SE	chr16:684797-685281:685340-685612		2.5687	-0.3974	50
MRNA_PROCESSING	LIHC	YY1AP1|55249	-	SE	chr1:155650247-155657862:155657992-155658721		2.5606	-0.3151	37.5
MRNA_PROCESSING	LIHC	ITGB4|3691	+	SE	chr17:73750896-73751136:73751294-73751782		2.5598	-0.3781	31.25
MRNA_PROCESSING	LIHC	A1CF|29974	-	A3	chr10:52573822-52575766:52573798-52575766		2.5238	0.3894	6.25
MRNA_PROCESSING	LIHC	AURKB|9212	-	SE	chr17:8111158-8113495:8113567-8113848		2.5196	0.4476	43.75
MRNA_PROCESSING	LIHC	HM13|81502	+	A5	chr20:30156083-30156923:30156027-30156923		2.4884	0.4236	56.25
MRNA_PROCESSING	LIHC	CES8|283848	+	SE	chr16:67040422-67040648:67040720-67042877		2.4303	-0.2272	31.25
MRNA_PROCESSING	LIHC	AFMID|125061	+	SE	chr17:76187141-76198580:76198684-76198784		2.3767	-0.3857	31.25
MRNA_PROCESSING	LIHC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987		2.3385	-0.3018	37.5
MRNA_PROCESSING	LIHC	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		2.2868	0.2753	81.25
MRNA_PROCESSING	LIHC	NR1I3|9970	-	SE	chr1:161205767-161206249:161206388-161207831	Observed	2.2807	-0.3691	37.5
MRNA_PROCESSING	LIHC	TM2D2|83877	-	A3	chr8:38853313-38853732:38852924-38853732		2.277	0.1526	12.5
MRNA_PROCESSING	LIHC	NFE2L1|4779	+	SE	chr17:46133960-46134394:46134483-46134706		2.2733	-0.3012	6.25
MRNA_PROCESSING	LIHC	CAMLG|819	+	SE	chr5:134074482-134076753:134077213-134079677		2.2171	0.4208	6.25
MRNA_PROCESSING	LIHC	CRB3|92359	+	RI	chr19:6466477:6466620-6466962:6467228		2.1837	0.3601	50
MRNA_PROCESSING	LIHC	AGXT2L2|85007	-	A3	chr5:177649581-177649853:177649493-177649853		2.1821	-0.37	6.25
MRNA_PROCESSING	LIHC	FANCA|2175	-	SE	chr16:89818630-89824985:89825113-89828357		2.1731	0.3901	43.75
MRNA_PROCESSING	LIHC	PML|5371	+	SE	chr15:74317268-74324913:74325056-74325497		2.1554	-0.2714	12.5
MRNA_PROCESSING	LIHC	SLC6A13|6540	-	A3	chr12:335680-336731:335650-336731		2.1251	-0.0885	6.25
MRNA_PROCESSING	LIHC	GOLGA2|2801	-	SE	chr9:131030803-131035064:131035144-131036129		2.115	-0.316	18.75
MRNA_PROCESSING	LIHC	SEPP1|6414	-	MX	chr5:42808468-42809862:42809890-42811938:42808468-42810793:42810880-42811938		2.1022	-0.3294	6.25
MRNA_PROCESSING	LIHC	TP53INP1|94241	-	SE	chr8:95942956-95944298:95944335-95952088		2.0893	-0.2558	37.5
MRNA_PROCESSING	LIHC	NIT1|4817	+	A5	chr1:161088015-161088576:161087968-161088576		2.08	-0.2966	6.25
MRNA_PROCESSING	LIHC	CASC4|113201	+	SE	chr15:44673174-44695085:44695252-44705534		2.0545	-0.2952	43.75
MRNA_PROCESSING	LIHC	ADAM15|8751	+	SE	chr1:155033965-155034380:155034451-155034721		2.0479	-0.3255	43.75
MRNA_PROCESSING	LIHC	MELK|9833	+	SE	chr9:36651874-36657238:36657360-36665347		2.0408	-0.2553	18.75
MRNA_PROCESSING	LIHC	SEMA5B|54437	-	A5	chr3:122630916-122631019:122630916-122631082		2.0265	-0.104	43.75
MRNA_PROCESSING	LIHC	TPD52L2|7165	+	SE	chr20:62505169-62507169:62507228-62514072		1.9965	-0.3252	6.25
MRNA_PROCESSING	LIHC	ECHDC2|55268	-	RI	chr1:53370706:53370762-53372191:53372283		1.9964	0.4059	56.25
MRNA_PROCESSING	LIHC	SAMD4A|23034	+	SE	chr14:55243258-55251058:55251165-55251255		1.9841	-0.1398	25
MRNA_PROCESSING	LIHC	STK16|8576	+	RI	chr2:220110618:220110807-220111379:220111598		1.9607	0.2905	6.25
MRNA_PROCESSING	LIHC	SFRS5|6430	+	A5	chr14:70234097-70234855:70233972-70234855		1.9523	0.2889	6.25
MRNA_PROCESSING	LIHC	PLCXD1|55344	+	RI	chrX:215764:216059-219260:220020		1.9493	-0.1104	43.75
MRNA_PROCESSING	LIHC	ECHDC2|55268	-	SE	chr1:53370762-53372191:53372283-53373540		1.9454	-0.4723	25
MRNA_PROCESSING	LIHC	TMEM150A|129303	-	SE	chr2:85827141-85827468:85827535-85828144		1.928	-0.3495	18.75
MRNA_PROCESSING	LIHC	NAGS|162417	+	RI	chr17:42083897:42084077-42084691:42084862		1.9276	0.27	37.5
MRNA_PROCESSING	LIHC	THNSL2|55258	+	SE	chr2:88482592-88484847:88484998-88485417		1.9221	-0.4416	31.25
MRNA_PROCESSING	LIHC	MRPL55|128308	-	SE	chr1:228296019-228296656:228296722-228296850		1.9207	-0.3462	37.5
MRNA_PROCESSING	LIHC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291		1.9121	-0.1804	62.5
MRNA_PROCESSING	LIHC	C2orf3|6936	-	A5	chr2:75933777-75937570:75933777-75937717		1.9114	0.1219	31.25
MRNA_PROCESSING	LIHC	TMEM188|255919	+	SE	chr16:50059251-50059562:50059612-50060307		1.9083	-0.1258	43.75
MRNA_PROCESSING	LIHC	PTPMT1|114971	+	RI	chr11:47586982:47587348-47587458:47587538		1.9078	0.3664	6.25
MRNA_PROCESSING	LIHC	IGSF1|3547	-	SE	chrX:130420022-130420411:130420437-130420579		1.907	0.352	12.5
MRNA_PROCESSING	LIHC	CCNL2|81669	-	SE	chr1:1324123-1324330:1324427-1325610		1.9028	-0.2365	12.5
MRNA_PROCESSING	LIHC	CTSL1|1514	+	A5	chr9:90341223-90342509:90341168-90342509		1.8937	0.3256	31.25
MRNA_PROCESSING	LIHC	MLL5|55904	+	SE	chr7:104654982-104678573:104678646-104681286		1.889	0.0828	12.5
MRNA_PROCESSING	LIHC	HPS1|3257	-	SE	chr10:100185477-100185575:100185742-100186972		1.8842	-0.296	18.75
MRNA_PROCESSING	LIHC	STK25|10494	-	SE	chr2:242441123-242447421:242447550-242447858		1.8812	-0.3628	50
MRNA_PROCESSING	LIHC	ARHGEF10L|55160	+	SE	chr1:17958961-17961043:17961057-17961330		1.8783	-0.3369	43.75
MRNA_PROCESSING	LIHC	MLPH|79083	+	SE	chr2:238436159-238443207:238443290-238448991		1.8552	-0.1422	31.25
MRNA_PROCESSING	LIHC	ATP2C1|27032	+	SE	chr3:130718503-130720064:130720158-130734996		1.846	0.2019	37.5
MRNA_PROCESSING	LIHC	STARD5|80765	-	SE	chr15:81614881-81615240:81615289-81616342		1.8321	-0.2773	25
MRNA_PROCESSING	LIHC	C9orf7|11094	+	SE	chr9:136328677-136330444:136330569-136333043		1.83	-0.3208	56.25
MRNA_PROCESSING	LIHC	SEC14L2|23541	+	SE	chr22:30793159-30795632:30795707-30802331		1.8218	-0.1349	31.25
MRNA_PROCESSING	LIHC	TCF4|6925	-	A5	chr18:52896307-52899740:52896307-52899752		1.8056	-0.1371	37.5
MRNA_PROCESSING	LIHC	TGIF1|7050	+	A5	chr18:3452380-3456352:3451773-3456352		1.7929	0.0453	31.25
MRNA_PROCESSING	LIHC	TBC1D2B|23102	-	A3	chr15:78290697-78293961:78290645-78293961		1.7922	-0.0823	25
MRNA_PROCESSING	LIHC	SMAD2|4087	-	SE	chr18:45395807-45396846:45396935-45422892		1.7814	0.3	6.25
MRNA_PROCESSING	LIHC	C1orf124|83932	+	RI	chr1:231487050:231487317-231488356:231489988		1.7678	-0.3475	12.5
MRNA_PROCESSING	LIHC	FGFR1|2260	-	A5	chr8:38285611-38285864:38285611-38285870	Observed	1.7633	0.0148	56.25
MRNA_PROCESSING	LIHC	PTPRB|5787	-	SE	chr12:70956887-70960215:70960484-70963455		1.7443	-0.145	37.5
MRNA_PROCESSING	LIHC	LIPT1|51601	+	MX	chr2:99771514-99771945:99772007-99778420:99771514-99772764:99772889-99778420		1.7372	-0.0819	25
MRNA_PROCESSING	LIHC	RFX5|5993	-	A5	chr1:151318809-151318958:151318809-151318965		1.7371	-0.0719	37.5
MRNA_PROCESSING	LIHC	SUZ12P|440423	+	SE	chr17:29062115-29070319:29070387-29086509		1.7366	0.1654	12.5
MRNA_PROCESSING	LIHC	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		1.7365	-0.0953	62.5
MRNA_PROCESSING	LIHC	MAPK12|6300	-	SE	chr22:50695075-50695217:50695393-50695511		1.7364	-0.14	31.25
MRNA_PROCESSING	LIHC	TMEM55B|90809	-	A5	chr14:20929004-20929322:20929004-20929343		1.7363	0.1175	43.75
MRNA_PROCESSING	LIHC	C7orf46|340277	+	SE	chr7:23731215-23731802:23734532-23737811		1.7362	-0.1309	37.5
MRNA_PROCESSING	LIHC	NFKBIB|4793	+	RI	chr19:39398039:39398299-39399371:39399533		1.7362	0.0787	25
MRNA_PROCESSING	LIHC	MPPE1|65258	-	SE	chr18:11886620-11886712:11886777-11886916		1.7346	-0.0657	25
MRNA_PROCESSING	LIHC	MAP3K9|4293	-	SE	chr14:71201215-71202678:71202746-71204962		1.7338	0.0324	37.5
MRNA_PROCESSING	LIHC	FAM49B|51571	-	SE	chr8:130867993-130874475:130874580-130883621		1.7308	-0.1418	18.75
MRNA_PROCESSING	LIHC	EXOC7|23265	-	MX	chr17:74085401-74086410:74086478-74090495:74085401-74087224:74087316-74090495		1.7276	-0.2379	37.5
MRNA_PROCESSING	LIHC	PI4KAP1|728233	-	A3	chr22:20388671-20389095:20388611-20389095		1.7148	-0.2195	43.75
MRNA_PROCESSING	LIHC	TMEM175|84286	+	A5	chr4:942403-944209:941942-944209		1.7114	0.3334	31.25
MRNA_PROCESSING	LIHC	HMGA1|3159	+	A5	chr6:34204740-34208514:34204738-34208514		1.7094	0.1449	31.25
MRNA_PROCESSING	LIHC	AMACR|23600	-	SE	chr5:33998932-34004679:34004839-34005861		1.7079	-0.1757	31.25
MRNA_PROCESSING	LIHC	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		1.7075	0.2983	50
MRNA_PROCESSING	LIHC	C9orf86|55684	+	RI	chr9:139726717:139726822-139728172:139728792		1.7021	0.1467	25
MRNA_PROCESSING	LIHC	MFSD1|64747	+	A5	chr3:158520104-158522108:158520073-158522108		1.7006	-0.1689	31.25
MRNA_PROCESSING	LIHC	EZH2|2146	-	SE	chr7:148526940-148529726:148529842-148543562		1.7002	0.1227	43.75
MRNA_PROCESSING	LIHC	BCL2L11|10018	+	SE	chr2:111881716-111907621:111907724-111921710		1.6997	0.0765	25
MRNA_PROCESSING	LIHC	ACSM2A|123876	+	RI	chr16:20482395:20482432-20482522:20482538		1.6859	-0.1501	6.25
MRNA_PROCESSING	LIHC	ZNF227|7770	+	SE	chr19:44732725-44733886:44733969-44738855		1.6787	0.0138	37.5
MRNA_PROCESSING	LIHC	SMURF2|64750	-	SE	chr17:62594608-62602720:62602758-62657947		1.6736	-0.0547	18.75
MRNA_PROCESSING	LIHC	NUMA1|4926	-	RI	chr11:71718235:71718481-71719734:71719891	Observed	1.001	0.1491	56.25
MRNA_PROCESSING	LIHC	PRPF4|9128	+	A3	chr9:116038050-116038825:116038050-116038828	Observed	1.001	0.0054	56.25
MRNA_PROCESSING	LIHC	PQBP1|10084	+	A5	chrX:48755365-48755775:48755297-48755775	Observed	0.7908	-0.3942	56.25
