# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
ANGIOGENESIS	BRCA	MPRIP|23164	+	SE	chr17:17083402-17083921:17083983-17088137		9.1612	0.5391	93.75
ANGIOGENESIS	BRCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		7.8177	0.4415	68.75
ANGIOGENESIS	BRCA	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		7.7875	-0.5486	75
ANGIOGENESIS	BRCA	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		6.791	-0.5468	93.75
ANGIOGENESIS	BRCA	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		6.7491	-0.6292	68.75
ANGIOGENESIS	BRCA	NPHP3|27031	-	SE	chr3:132413809-132415575:132415657-132416104		6.5984	0.6116	56.25
ANGIOGENESIS	BRCA	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		6.525	-0.2036	81.25
ANGIOGENESIS	BRCA	TBX15|6913	-	SE	chr1:119428139-119433490:119433588-119441651		6.423	-0.5609	43.75
ANGIOGENESIS	BRCA	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		6.3705	0.5844	87.5
ANGIOGENESIS	BRCA	THBS3|7059	-	SE	chr1:155173330-155174646:155174748-155174851		5.6523	0.4257	62.5
ANGIOGENESIS	BRCA	HMCN1|83872	+	SE	chr1:186143774-186147548:186147898-186151300		5.5818	0.6149	6.25
ANGIOGENESIS	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		5.5689	-0.3374	81.25
ANGIOGENESIS	BRCA	NIN|51199	-	SE	chr14:51221585-51223210:51225348-51226575		5.5015	0.5693	87.5
ANGIOGENESIS	BRCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		5.4847	-0.2858	62.5
ANGIOGENESIS	BRCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.4623	-0.5045	93.75
ANGIOGENESIS	BRCA	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		5.413	0.5216	56.25
ANGIOGENESIS	BRCA	CLSTN1|22883	-	SE	chr1:9796100-9797556:9797612-9801152		5.2726	0.4917	56.25
ANGIOGENESIS	BRCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		5.2073	0.3165	81.25
ANGIOGENESIS	BRCA	ATP11C|286410	-	SE	chrX:138811121-138819890:138819955-138820075		5.1878	-0.5823	37.5
ANGIOGENESIS	BRCA	CDH13|1012	+	SE	chr16:83065823-83158990:83159106-83250950		5.0541	0.3757	56.25
ANGIOGENESIS	BRCA	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803556-196807922		5.0469	-0.5331	68.75
ANGIOGENESIS	BRCA	CDH13|1012	+	SE	chr16:82892078-83065615:83065823-83158990		5.0272	0.498	68.75
ANGIOGENESIS	BRCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		4.7317	-0.5985	87.5
ANGIOGENESIS	BRCA	ZFYVE16|9765	+	A3	chr5:79741224-79743845:79741224-79744102		4.6998	0.6242	87.5
ANGIOGENESIS	BRCA	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		4.6791	-0.6101	56.25
ANGIOGENESIS	BRCA	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	4.6112	-0.5954	81.25
ANGIOGENESIS	BRCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		4.5547	0.2841	68.75
ANGIOGENESIS	BRCA	RNF144A|9781	+	A5	chr2:7160899-7164500:7160811-7164500		4.5029	-0.536	43.75
ANGIOGENESIS	BRCA	C3orf64|285203	-	RI	chr3:69037657:69037728-69038076:69038168		4.4765	-0.5669	75
ANGIOGENESIS	BRCA	ANKDD1A|348094	+	SE	chr15:65242193-65243169:65243448-65249442		4.4712	-0.4024	62.5
ANGIOGENESIS	BRCA	DGKH|160851	+	A5	chr13:42772731-42773702:42772729-42773702		4.45	0.5724	56.25
ANGIOGENESIS	BRCA	ADAMTS9|56999	-	SE	chr3:64641367-64641468:64641551-64644178		4.3805	0.4736	62.5
ANGIOGENESIS	BRCA	JAM3|83700	+	SE	chr11:134010665-134014136:134014288-134014687		4.3445	0.5313	93.75
ANGIOGENESIS	BRCA	LIMCH1|22998	+	SE	chr4:41621457-41640949:41640984-41646517		4.287	0.4082	56.25
ANGIOGENESIS	BRCA	RASAL2|9462	+	SE	chr1:178436556-178439828:178439858-178442210		4.2853	-0.5474	68.75
ANGIOGENESIS	BRCA	COL11A1|1301	-	SE	chr1:103444991-103445153:103445168-103449694		4.2779	-0.5603	56.25
ANGIOGENESIS	BRCA	TNK2|10188	-	SE	chr3:195593887-195594040:195594135-195594232		4.2518	-0.5288	43.75
ANGIOGENESIS	BRCA	CLSTN1|22883	-	SE	chr1:9815367-9816539:9816568-9833330		4.1994	-0.4885	56.25
ANGIOGENESIS	BRCA	EXOC3L|283849	-	RI	chr16:67218589:67218713-67218805:67218960		4.1968	-0.3737	62.5
ANGIOGENESIS	BRCA	NPR1|4881	+	SE	chr1:153658356-153658599:153658676-153659122		4.1707	0.5301	62.5
ANGIOGENESIS	BRCA	ERC1|23085	+	SE	chr12:1517413-1519555:1519619-1553728		4.1581	-0.5554	62.5
ANGIOGENESIS	BRCA	MGC72080|389538	-	A3	chr7:97599174-97601447:97599157-97601447		4.1206	-0.2202	12.5
ANGIOGENESIS	BRCA	EXOC3L|283849	-	SE	chr16:67220560-67220662:67220787-67220924		4.0246	0.3737	68.75
ANGIOGENESIS	BRCA	NFYA|4800	+	SE	chr6:41046903-41048550:41048636-41051785		3.9855	0.4018	43.75
ANGIOGENESIS	BRCA	VCAN|1462	+	SE	chr5:82808215-82832826:82838087-82841356	Observed	3.9656	0.5972	81.25
ANGIOGENESIS	BRCA	TGFBI|7045	+	RI	chr5:135382024:135382245-135382540:135382704		3.9552	-0.4023	43.75
ANGIOGENESIS	BRCA	ASAP1|50807	-	SE	chr8:131172210-131173031:131173039-131179782		3.9381	-0.5928	68.75
ANGIOGENESIS	BRCA	CD109|135228	+	SE	chr6:74433002-74440067:74440297-74446106		3.9018	0.561	56.25
ANGIOGENESIS	BRCA	ERBB2IP|55914	+	SE	chr5:65350779-65370852:65371058-65372144		3.8901	-0.2952	68.75
ANGIOGENESIS	BRCA	CHD1|1105	-	RI	chr5:98207755:98207905-98208121:98208259		3.8855	-0.5717	81.25
ANGIOGENESIS	BRCA	ABI1|10006	-	SE	chr10:27040712-27044584:27044670-27047991		3.8821	0.3318	75
ANGIOGENESIS	BRCA	NIN|51199	-	A5	chr14:51221350-51221460:51221350-51221463		3.8564	0.5448	81.25
ANGIOGENESIS	BRCA	CAMKK2|10645	-	SE	chr12:121678672-121682376:121682418-121682943		3.8546	0.3385	62.5
ANGIOGENESIS	BRCA	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		3.8441	0.4143	62.5
ANGIOGENESIS	BRCA	RASGRP3|25780	+	A3	chr2:33759467-33764161:33759467-33764164		3.8263	0.4073	37.5
ANGIOGENESIS	BRCA	STX2|2054	-	SE	chr12:131276522-131280540:131280665-131283070		3.7954	-0.1551	43.75
ANGIOGENESIS	BRCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.773	0.3186	93.75
ANGIOGENESIS	BRCA	ROBO1|6091	-	SE	chr3:78695340-78696779:78696805-78700882		3.7453	-0.5736	62.5
ANGIOGENESIS	BRCA	PPP4R1|9989	-	SE	chr18:9562073-9562920:9563044-9563376		3.7337	-0.5676	75
ANGIOGENESIS	BRCA	EXOC3L|283849	-	A5	chr16:67221740-67222624:67221740-67222807		3.7248	0.3643	68.75
ANGIOGENESIS	BRCA	ETV1|2115	-	SE	chr7:13978871-14017052:14017105-14026263		3.7175	0.4377	37.5
ANGIOGENESIS	BRCA	FNBP1L|54874	+	RI	chr1:94016504:94016662-94017966:94020216		3.7068	-0.5605	56.25
ANGIOGENESIS	BRCA	BOC|91653	+	RI	chr3:113005522:113005583-113005869:113006303		3.679	0.5869	81.25
ANGIOGENESIS	BRCA	GOLGA2|2801	-	SE	chr9:131030803-131035064:131035144-131036129		3.6767	0.4362	6.25
ANGIOGENESIS	BRCA	SPAG9|9043	-	SE	chr17:49052308-49053224:49053262-49054469		3.6203	-0.0403	25
ANGIOGENESIS	BRCA	CCL28|56477	-	A3	chr5:43377586-43381903:43376990-43381903		3.6166	-0.0328	43.75
ANGIOGENESIS	BRCA	LIN54|132660	-	A5	chr4:83900159-83905314:83900159-83905977		3.5915	0.5222	56.25
ANGIOGENESIS	BRCA	PPP3CB|5532	-	SE	chr10:75198178-75199630:75199659-75204483		3.5902	-0.5949	81.25
ANGIOGENESIS	BRCA	SULF1|23213	+	SE	chr8:70541914-70550737:70550879-70550970		3.5851	0.5729	87.5
ANGIOGENESIS	BRCA	MLL3|58508	-	A5	chr7:151855010-151855942:151855010-151855948		3.5401	0.5154	68.75
ANGIOGENESIS	BRCA	ITGB5|3693	-	SE	chr3:124515664-124527869:124528003-124536468		3.5237	0.5557	75
ANGIOGENESIS	BRCA	DGKH|160851	+	SE	chr13:42769152-42769899:42770095-42772614		3.5176	-0.5724	43.75
ANGIOGENESIS	BRCA	NIN|51199	-	SE	chr14:51196441-51197641:51197701-51202234		3.5088	-0.561	87.5
ANGIOGENESIS	BRCA	PICALM|8301	-	SE	chr11:85685855-85687666:85687725-85692172		3.4969	0.5714	87.5
ANGIOGENESIS	BRCA	DOCK10|55619	-	SE	chr2:225630554-225633589:225633664-225634928		3.4963	-0.5626	68.75
ANGIOGENESIS	BRCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	3.4852	-0.3158	75
ANGIOGENESIS	BRCA	ST7|7982	+	SE	chr7:116772014-116774178:116774246-116776135		3.4777	0.0158	68.75
ANGIOGENESIS	BRCA	SH3D19|152503	-	SE	chr4:152080504-152086741:152086848-152095822		3.4738	0.5855	75
ANGIOGENESIS	BRCA	KIAA1033|23325	+	A3	chr12:105514375-105514867:105514375-105514879		3.4582	-0.5805	62.5
ANGIOGENESIS	BRCA	NEK1|4750	-	SE	chr4:170429482-170429920:170430003-170458960		3.4451	0.5303	37.5
ANGIOGENESIS	BRCA	CSF1|1435	+	A3	chr1:110464616-110465788:110464616-110466682		3.4425	0.4536	31.25
ANGIOGENESIS	BRCA	NOTCH4|4855	-	SE	chr6:32163927-32164101:32164198-32164702		3.4424	0.5057	100
ANGIOGENESIS	BRCA	MBNL1|4154	+	A3	chr3:152163328-152165409:152163328-152165514		3.4375	0.6033	75
ANGIOGENESIS	BRCA	ROBO1|6091	-	A5	chr3:78717452-78717622:78717452-78717634		3.437	-0.5753	68.75
ANGIOGENESIS	BRCA	POSTN|10631	-	SE	chr13:38138697-38143437:38143520-38143881		3.4202	-0.4408	93.75
ANGIOGENESIS	BRCA	CAST|831	+	SE	chr5:96058402-96062498:96062563-96063193		3.3921	0.2899	50
ANGIOGENESIS	BRCA	ALDH1L2|160428	-	A3	chr12:105444485-105445868:105443836-105445868		3.3746	-0.3047	68.75
ANGIOGENESIS	BRCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		3.3523	-0.2815	56.25
ANGIOGENESIS	BRCA	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.351	-0.1313	68.75
ANGIOGENESIS	BRCA	DST|667	-	SE	chr6:56330993-56333780:56333797-56334681		3.3349	0.6035	56.25
ANGIOGENESIS	BRCA	MTMR11|10903	-	SE	chr1:149907252-149907477:149907598-149908047		3.3242	-0.3871	12.5
ANGIOGENESIS	BRCA	RGS4|5999	+	SE	chr1:163042656-163043246:163043412-163044111		3.3237	0.3234	62.5
ANGIOGENESIS	BRCA	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	3.2938	0.5704	75
ANGIOGENESIS	BRCA	PAM|5066	+	MX	chr5:102355547-102360835:102361038-102364591:102355547-102363889:102363942-102364591		3.2817	-0.5835	18.75
ANGIOGENESIS	BRCA	TANC2|26115	+	SE	chr17:61489491-61490041:61490070-61490904		3.2774	-0.5694	62.5
ANGIOGENESIS	BRCA	ARHGAP28|79822	+	A3	chr18:6851125-6859807:6851125-6859830		3.277	0.4471	37.5
ANGIOGENESIS	BRCA	SEPT6|23157	-	SE	chrX:118752749-118759298:118759342-118763281		3.2653	-0.1967	56.25
ANGIOGENESIS	BRCA	FMNL2|114793	+	SE	chr2:153497428-153501948:153502041-153504310		3.2646	-0.5851	37.5
ANGIOGENESIS	BRCA	GPR180|160897	+	SE	chr13:95264644-95271404:95271584-95271722		3.2334	0.2494	37.5
ANGIOGENESIS	BRCA	PTCD3|55037	+	SE	chr2:86344282-86346044:86346167-86348602		3.2331	-0.5278	68.75
ANGIOGENESIS	BRCA	SLIT2|9353	+	SE	chr4:20525800-20526772:20526795-20530572	Observed	2.7012	0.3521	68.75
ANGIOGENESIS	BRCA	HSPG2|3339	-	A3	chr1:22211170-22211260:22211167-22211260	Observed	2.4422	0.1974	81.25
ANGIOGENESIS	BRCA	FN1|2335	-	SE	chr2:216236738-216236832:216237098-216238045	Observed	2.3142	0.4949	62.5
ANGIOGENESIS	BRCA	SULF2|55959	-	SE	chr20:46287136-46288143:46288196-46288441	Observed	2.3116	0.4342	81.25
ANGIOGENESIS	BRCA	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	2.1799	0.3794	93.75
ANGIOGENESIS	BRCA	NFKB1|4790	+	RI	chr4:103537591:103538275-103538276:103538458	Observed	2.0424	-0.3776	68.75
ANGIOGENESIS	BRCA	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	2.0059	0.0651	62.5
ANGIOGENESIS	BRCA	TEK|7010	+	SE	chr9:27173360-27180238:27180366-27183457	Observed	1.9524	0.4384	87.5
ANGIOGENESIS	BRCA	SETD2|29072	-	SE	chr3:47079267-47082850:47082973-47084051	Observed	1.9356	-0.5487	56.25
ANGIOGENESIS	BRCA	FN1|2335	-	SE	chr2:216244040-216245534:216245803-216246935	Observed	1.7974	0.4451	56.25
ANGIOGENESIS	BRCA	PTGS2|5743	-	A3	chr1:186646962-186647393:186646852-186647393	Observed	1.7243	0.33	62.5
ANGIOGENESIS	BRCA	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	1.5834	0.3326	62.5
ANGIOGENESIS	BRCA	PDGFC|56034	-	RI	chr4:157731989:157732020-157732105:157732169	Observed	1.5047	0.4966	68.75
ANGIOGENESIS	BRCA	TEK|7010	+	A5	chr9:27205063-27206580:27205060-27206580	Observed	1.4751	0.4229	87.5
ANGIOGENESIS	BRCA	PFKFB3|5209	+	SE	chr10:6266176-6268155:6268328-6274858	Observed	1.4388	0.341	56.25
