# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	ESCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	3.4844	0.4227	93.75
APOPTOSIS	ESCA	C14orf159|80017	+	SE	chr14:91611657-91614125:91614202-91623983		2.9562	-0.3125	62.5
APOPTOSIS	ESCA	NUP62|23636	-	SE	chr19:50413141-50430951:50431072-50432583		2.9263	-0.3888	62.5
APOPTOSIS	ESCA	KIAA0895|23366	-	A5	chr7:36397199-36406525:36397199-36406720		2.7563	0.1883	43.75
APOPTOSIS	ESCA	CELF2|10659	+	A5	chr10:11356233-11363170:11356221-11363170		2.6293	-0.3116	81.25
APOPTOSIS	ESCA	ZFAND5|7763	-	SE	chr9:74975703-74978386:74978522-74979612		2.5517	-0.2491	62.5
APOPTOSIS	ESCA	PYCR1|5831	-	MX	chr17:79891252-79892202:79892365-79892802:79891252-79892529:79892621-79892802		2.4882	0.2349	18.75
APOPTOSIS	ESCA	NUP62|23636	-	A3	chr19:50431105-50432583:50431072-50432583		2.368	0.1658	56.25
APOPTOSIS	ESCA	KCNG3|170850	-	A5	chr2:42671719-42719977:42671719-42720010		2.3162	-0.1675	12.5
APOPTOSIS	ESCA	CPAMD8|27151	-	A3	chr19:17005248-17006987:17004150-17006987		2.2842	0.2817	31.25
APOPTOSIS	ESCA	NEXN|91624	+	RI	chr1:78408146:78408503-78408585:78409576		2.2604	-0.3042	31.25
APOPTOSIS	ESCA	SSBP2|23635	-	MX	chr5:80770381-80785069:80785128-80911292:80770381-80809447:80809536-80911292		2.2371	0.1902	12.5
APOPTOSIS	ESCA	ZNF320|162967	-	SE	chr19:53385236-53386893:53386957-53391380		2.235	-0.1039	50
APOPTOSIS	ESCA	PCSK6|5046	-	A5	chr15:102029686-102029688:102029686-102029697		2.2224	0.1774	18.75
APOPTOSIS	ESCA	AMZ2|51321	+	RI	chr17:66244145:66244227-66244781:66244846		2.1339	0.2227	43.75
APOPTOSIS	ESCA	PRRT1|80863	-	A3	chr6:32118683-32119586:32118360-32119586		2.0975	0.1184	37.5
APOPTOSIS	ESCA	GTF3C1|2975	-	A5	chr16:27474913-27475641:27474913-27475716		2.0014	-0.0847	25
APOPTOSIS	ESCA	PPFIA3|8541	+	RI	chr19:49653337:49653408-49653493:49654278		1.9809	-0.223	37.5
APOPTOSIS	ESCA	GUCY1A3|2982	+	A3	chr4:156629446-156631697:156629446-156631834		1.9609	-0.2845	31.25
APOPTOSIS	ESCA	NMU|10874	-	SE	chr4:56475346-56482505:56482552-56496569		1.9127	-0.2076	18.75
APOPTOSIS	ESCA	FOLR2|2350	+	A3	chr11:71927969-71929605:71927969-71929617		1.9025	0.2576	12.5
APOPTOSIS	ESCA	POLM|27434	-	A5	chr7:44113624-44113730:44113624-44113997		1.9011	0.0198	18.75
APOPTOSIS	ESCA	POTEE|445582	+	SE	chr2:132008421-132010099:132010143-132010491		1.899	-0.2414	31.25
APOPTOSIS	ESCA	ALKBH2|121642	-	A3	chr12:109530742-109531052:109530592-109531052		1.8909	-0.1713	12.5
APOPTOSIS	ESCA	C14orf159|80017	+	A5	chr14:91636545-91639633:91636530-91639633		1.8821	-0.1698	43.75
APOPTOSIS	ESCA	CCDC151|115948	-	SE	chr19:11537391-11537503:11537604-11537693		1.858	-0.0284	43.75
APOPTOSIS	ESCA	PKP4|8502	+	SE	chr2:159530512-159533251:159533379-159535093		1.8528	-0.1032	25
APOPTOSIS	ESCA	PUS10|150962	-	SE	chr2:61192238-61192558:61192619-61194637		1.8327	-0.1027	25
APOPTOSIS	ESCA	CCDC51|79714	-	A3	chr3:48476546-48481398:48476425-48481398		1.8208	-0.1409	43.75
APOPTOSIS	ESCA	SENP7|57337	-	SE	chr3:101090970-101117705:101117899-101136437		1.812	0.0821	43.75
APOPTOSIS	ESCA	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		1.8063	0.269	100
APOPTOSIS	ESCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		1.7991	-0.2212	100
APOPTOSIS	ESCA	FNDC5|252995	-	A3	chr1:33329900-33330265:33329377-33330265		1.793	-0.0995	31.25
APOPTOSIS	ESCA	DOCK2|1794	+	SE	chr5:169139011-169139124:169139227-169141032		1.775	0.2457	43.75
APOPTOSIS	ESCA	SPTB|6710	-	SE	chr14:65216872-65218929:65219033-65220255		1.7682	0.2671	43.75
APOPTOSIS	ESCA	SMC2|10592	+	A3	chr9:106856758-106857580:106856758-106857605		1.7595	-0.1422	25
APOPTOSIS	ESCA	CDV3|55573	+	A3	chr3:133305566-133306003:133305566-133306006		1.7532	0.119	18.75
APOPTOSIS	ESCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		1.7467	-0.4286	68.75
APOPTOSIS	ESCA	C8orf59|401466	-	A5	chr8:86129731-86131465:86129731-86131552		1.7411	-0.2072	25
APOPTOSIS	ESCA	ANKMY1|51281	-	SE	chr2:241447108-241448765:241448872-241451278		1.7346	0.2085	43.75
