# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	KIRC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	7.7021	0.5874	93.75
APOPTOSIS	KIRC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	5.9471	0.5134	93.75
APOPTOSIS	KIRC	RUNX3|864	-	SE	chr1:25229157-25233750:25233908-25245731	Observed	2.3471	-0.1348	31.25
APOPTOSIS	KIRC	SYK|6850	+	SE	chr9:93627379-93629413:93629481-93636486	Observed	2.3209	0.239	56.25
APOPTOSIS	KIRC	IL32|9235	+	A5	chr16:3117614-3117985:3117416-3117985	Observed	2.159	-0.1017	43.75
APOPTOSIS	KIRC	CD247|919	-	A3	chr1:167404671-167407807:167404668-167407807	Observed	2.0827	0.0845	81.25
APOPTOSIS	KIRC	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414	Observed	2.0722	0.1066	56.25
APOPTOSIS	KIRC	BCKDHB|594	+	RI	chr6:81053381:81053529-81055692:81055987	Observed	1.8283	0.0285	62.5
APOPTOSIS	KIRC	BIN1|274	-	SE	chr2:127808488-127808730:127808819-127816587	Observed	1.6217	-0.3556	62.5
APOPTOSIS	KIRC	TNFRSF10B|8795	-	RI	chr8:22885844:22885954-22886042:22886115	Observed	1.4156	0.0341	56.25
APOPTOSIS	KIRC	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583	Observed	1.4154	0.0875	62.5
APOPTOSIS	KIRC	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184	Observed	1.4028	-0.1437	56.25
APOPTOSIS	KIRC	SPHK2|56848	+	A5	chr19:49122946-49123659:49122800-49123659	Observed	1.3448	0.027	56.25
APOPTOSIS	KIRC	HTRA2|27429	+	A3	chr2:74757039-74757572:74757039-74757588	Observed	1.3397	0.0193	56.25
