# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	OV	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		6.1368	-0.6044	68.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		6.0462	0.5679	87.5
INFLAMMATORY_RESPONSE_PATHWAY	OV	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		5.9338	-0.569	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266	Observed	5.8312	-0.5556	100
INFLAMMATORY_RESPONSE_PATHWAY	OV	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		5.6979	0.5761	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		5.4947	-0.5795	100
INFLAMMATORY_RESPONSE_PATHWAY	OV	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		5.42	0.4892	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.6335	0.4988	81.25
INFLAMMATORY_RESPONSE_PATHWAY	OV	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		4.401	-0.5439	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		4.3362	0.5154	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	CECR1|51816	-	A3	chr22:17690613-17700246:17690488-17700246		4.2172	0.4845	87.5
INFLAMMATORY_RESPONSE_PATHWAY	OV	KCNAB2|8514	+	SE	chr1:6100705-6101891:6101932-6132815		4.196	-0.3854	62.5
INFLAMMATORY_RESPONSE_PATHWAY	OV	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		4.1564	-0.4418	81.25
INFLAMMATORY_RESPONSE_PATHWAY	OV	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.1288	0.5773	93.75
INFLAMMATORY_RESPONSE_PATHWAY	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.0211	-0.4611	87.5
INFLAMMATORY_RESPONSE_PATHWAY	OV	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		3.923	-0.5457	81.25
INFLAMMATORY_RESPONSE_PATHWAY	OV	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		3.8808	0.4299	81.25
INFLAMMATORY_RESPONSE_PATHWAY	OV	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		3.8808	0.3652	93.75
