# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TGF_BETA_PATHWAY	OV	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001		4.6278	-0.5132	81.25
TGF_BETA_PATHWAY	OV	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		4.4285	-0.4154	56.25
TGF_BETA_PATHWAY	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		4.3479	0.3801	31.25
TGF_BETA_PATHWAY	OV	PBRM1|55193	-	SE	chr3:52584833-52588740:52588895-52595783		3.7516	-0.4092	50
TGF_BETA_PATHWAY	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		3.6301	-0.3936	81.25
TGF_BETA_PATHWAY	OV	MLH3|27030	-	SE	chr14:75505115-75506614:75506718-75508318		3.4158	-0.3211	87.5
TGF_BETA_PATHWAY	OV	DOCK7|85440	-	SE	chr1:63009416-63010618:63010710-63018403		3.3289	-0.3367	75
TGF_BETA_PATHWAY	OV	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		3.2242	-0.3784	50
TGF_BETA_PATHWAY	OV	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.1843	0.3471	43.75
TGF_BETA_PATHWAY	OV	SKIL|6498	+	RI	chr3:170077487:170077664-170078156:170079217	Observed	2.8679	0.3845	37.5
TGF_BETA_PATHWAY	OV	ANO10|55129	-	SE	chr3:43616356-43618184:43618753-43621845		2.8458	0.3308	68.75
TGF_BETA_PATHWAY	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		2.7121	0.4323	62.5
TGF_BETA_PATHWAY	OV	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		2.7066	-0.3751	56.25
