# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
MRNA_PROCESSING	BLCA	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		3.1324	-0.2988	43.75
MRNA_PROCESSING	BLCA	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.0822	-0.3057	68.75
MRNA_PROCESSING	BLCA	STAB1|23166	+	RI	chr3:52553280:52553420-52553521:52553580		2.8567	0.3044	18.75
MRNA_PROCESSING	BLCA	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		2.6548	0.3393	56.25
MRNA_PROCESSING	BLCA	APP|351	-	SE	chr21:27354790-27369675:27369731-27372330	Observed	2.6391	-0.3064	37.5
MRNA_PROCESSING	BLCA	ACTN1|87	-	MX	chr14:69343957-69345175:69345240-69346679:69343957-69345706:69345786-69346679		2.6216	-0.426	43.75
MRNA_PROCESSING	BLCA	SVIL|6840	-	SE	chr10:29813644-29815890:29815985-29818634		2.5877	-0.2963	25
MRNA_PROCESSING	BLCA	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		2.4942	0.2982	56.25
MRNA_PROCESSING	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763293:83763634-83765539		2.4616	0.4221	56.25
MRNA_PROCESSING	BLCA	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		2.4202	0.402	68.75
MRNA_PROCESSING	BLCA	TMEM220|388335	-	SE	chr17:10629581-10632348:10632377-10633097		2.3845	-0.26	50
MRNA_PROCESSING	BLCA	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.3532	-0.2724	31.25
MRNA_PROCESSING	BLCA	MFAP4|4239	-	SE	chr17:19288594-19288671:19288767-19289623		2.3103	-0.1	50
MRNA_PROCESSING	BLCA	SCUBE2|57758	-	SE	chr11:9072257-9074293:9074379-9074646		2.2741	0.0447	25
MRNA_PROCESSING	BLCA	MEGF6|1953	-	SE	chr1:3413347-3413552:3413683-3413797		2.1852	-0.2758	56.25
MRNA_PROCESSING	BLCA	STAB1|23166	+	RI	chr3:52553960:52554136-52554220:52554306		2.1556	0.3044	18.75
MRNA_PROCESSING	BLCA	PPP1R12A|4659	-	SE	chr12:80199548-80199946:80200113-80201006		2.1423	-0.1834	25
MRNA_PROCESSING	BLCA	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216		2.1377	-0.2573	50
MRNA_PROCESSING	BLCA	THEM4|117145	-	SE	chr1:151861849-151862459:151862690-151867484		2.1335	-0.224	43.75
MRNA_PROCESSING	BLCA	TJP1|7082	-	SE	chr15:30011342-30011981:30012220-30012562		2.1319	-0.3255	50
MRNA_PROCESSING	BLCA	PKIG|11142	+	SE	chr20:43160619-43211226:43211372-43218438		2.1186	-0.2797	43.75
MRNA_PROCESSING	BLCA	LOXL3|84695	-	SE	chr2:74763598-74763836:74764055-74776496		2.1063	-0.3538	81.25
MRNA_PROCESSING	BLCA	ITGA7|3679	-	MX	chr12:56092701-56093654:56093773-56094683:56092701-56094046:56094177-56094683		2.101	0.2639	62.5
MRNA_PROCESSING	BLCA	SLC15A2|6565	+	SE	chr3:121616376-121630421:121630513-121631868		2.0843	-0.2661	37.5
MRNA_PROCESSING	BLCA	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608		2.0665	-0.1458	56.25
MRNA_PROCESSING	BLCA	DEPDC5|9681	+	A3	chr22:32229966-32232958:32229966-32232985		2.0501	0.2384	50
MRNA_PROCESSING	BLCA	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		2.0456	0.2603	62.5
MRNA_PROCESSING	BLCA	IQCG|84223	-	SE	chr3:197672557-197676244:197676320-197676710		2.0432	-0.2288	43.75
MRNA_PROCESSING	BLCA	GTPBP8|29083	+	SE	chr3:112710182-112711873:112711971-112713982		2.043	0.104	18.75
MRNA_PROCESSING	BLCA	MELK|9833	+	SE	chr9:36589649-36597219:36597287-36599391		2.035	-0.1641	25
MRNA_PROCESSING	BLCA	STAB1|23166	+	RI	chr3:52554658:52554714-52554820:52555021		2.0201	0.3044	6.25
MRNA_PROCESSING	BLCA	PARP9|83666	-	A5	chr3:122278556-122282958:122278556-122283092		2.0101	0.1156	62.5
MRNA_PROCESSING	BLCA	N4BP2L2|10443	-	A3	chr13:33018263-33091994:33016685-33091994		2.0079	-0.049	25
MRNA_PROCESSING	BLCA	SNED1|25992	+	SE	chr2:242021779-242026807:242026890-242027780		1.9966	-0.3057	50
MRNA_PROCESSING	BLCA	LOXL2|4017	-	SE	chr8:23155635-23156349:23156460-23159540		1.9964	-0.2402	56.25
MRNA_PROCESSING	BLCA	ZEB1|6935	+	SE	chr10:31608221-31749966:31750166-31784708		1.9909	-0.2299	50
MRNA_PROCESSING	BLCA	ZEB1|6935	+	A3	chr10:31750166-31784705:31750166-31784708		1.9831	-0.2026	56.25
MRNA_PROCESSING	BLCA	ENAH|55740	-	SE	chr1:225688772-225692693:225692755-225695653		1.9801	0.1418	81.25
MRNA_PROCESSING	BLCA	SMARCC2|6601	-	A5	chr12:56557549-56558087:56557549-56558432		1.9736	0.3923	50
MRNA_PROCESSING	BLCA	BZW2|28969	+	A5	chr7:16685929-16705062:16685913-16705062		1.9666	-0.1399	12.5
MRNA_PROCESSING	BLCA	ODF2|4957	+	A5	chr9:131223346-131231462:131223289-131231462		1.9517	-0.1289	6.25
MRNA_PROCESSING	BLCA	MRVI1|10335	-	SE	chr11:10645403-10647513:10648130-10649263		1.9503	-0.1916	50
MRNA_PROCESSING	BLCA	CTDSPL2|51496	+	A5	chr15:44719970-44751189:44719965-44751189		1.9376	-0.0814	31.25
MRNA_PROCESSING	BLCA	PEG3|5178	-	A5	chr19:57334204-57334958:57334204-57334961		1.9087	0.0124	50
MRNA_PROCESSING	BLCA	RREB1|6239	+	SE	chr6:7232140-7240671:7240835-7246657		1.9065	-0.2042	37.5
MRNA_PROCESSING	BLCA	OGT|8473	+	A3	chrX:70753186-70756028:70753186-70756058		1.903	-0.044	31.25
MRNA_PROCESSING	BLCA	AMZ2P1|201283	-	RI	chr17:62968872:62969045-62969360:62969635		1.8996	0.0624	25
MRNA_PROCESSING	BLCA	PILRA|29992	+	SE	chr7:99972056-99987511:99987729-99995502		1.8993	-0.0242	50
MRNA_PROCESSING	BLCA	ANGPTL1|9068	-	SE	chr1:178834937-178838249:178838358-178839876		1.8925	-0.2362	37.5
MRNA_PROCESSING	BLCA	PKP4|8502	+	A5	chr2:159477633-159477743:159477627-159477743		1.8803	-0.0363	43.75
MRNA_PROCESSING	BLCA	GDPD2|54857	+	RI	chrX:69646498:69646591-69646716:69646861		1.8735	-5e-04	31.25
MRNA_PROCESSING	BLCA	HCFC1R1|54985	-	RI	chr16:3073848:3073969-3074182:3074287		1.872	0.2873	68.75
MRNA_PROCESSING	BLCA	C16orf13|84326	-	SE	chr16:685340-685612:685774-686094		1.8698	-0.3132	43.75
MRNA_PROCESSING	BLCA	SULF1|23213	+	SE	chr8:70405360-70408000:70408161-70414109		1.8569	-0.2219	43.75
MRNA_PROCESSING	BLCA	CCDC88A|55704	-	A3	chr2:55555571-55559702:55555568-55559702		1.8383	0.2036	62.5
MRNA_PROCESSING	BLCA	POLB|5423	+	SE	chr8:42196203-42196530:42196587-42202471		1.8205	1e-04	12.5
MRNA_PROCESSING	BLCA	P4HA1|5033	-	MX	chr10:74790128-74803645:74803715-74806683:74790128-74804739:74804809-74806683		1.8068	0.2437	18.75
MRNA_PROCESSING	BLCA	ZNF837|116412	-	A5	chr19:58880728-58881084:58880728-58881186		1.8064	-0.0395	25
MRNA_PROCESSING	BLCA	LMF1|64788	-	A5	chr16:961079-1004353:961079-1004357		1.8012	-0.1331	31.25
MRNA_PROCESSING	BLCA	SDCCAG3|10807	-	SE	chr9:139302390-139303451:139303519-139304542		1.7956	-0.2427	43.75
MRNA_PROCESSING	BLCA	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		1.7914	0.199	56.25
MRNA_PROCESSING	BLCA	TPM1|7168	+	MX	chr15:63335142-63335905:63336030-63349184:63335142-63336226:63336351-63349184		1.7912	-0.2462	43.75
MRNA_PROCESSING	BLCA	TESK2|10420	-	SE	chr1:45811666-45812365:45812451-45812651		1.7761	5e-04	31.25
MRNA_PROCESSING	BLCA	CUL4A|8451	+	RI	chr13:113882282:113882282-113882291:113882359		1.7729	0.1889	50
MRNA_PROCESSING	BLCA	ZNF518A|9849	+	A3	chr10:97892427-97893313:97892427-97893340		1.7674	0.0345	18.75
MRNA_PROCESSING	BLCA	C15orf21|283651	+	SE	chr15:45803403-45804571:45804647-45805896		1.757	-0.3602	25
MRNA_PROCESSING	BLCA	GYLTL1B|120071	+	SE	chr11:45949620-45949728:45949923-45950181		1.7432	-0.1104	18.75
MRNA_PROCESSING	BLCA	GNB4|59345	-	SE	chr3:179119107-179122978:179123194-179131200		1.7372	-0.035	62.5
MRNA_PROCESSING	BLCA	MYST4|23522	+	A5	chr10:76736088-76737074:76735539-76737074		1.7372	-0.023	25
MRNA_PROCESSING	BLCA	NLRC5|84166	+	SE	chr16:57075486-57075894:57075977-57077427		1.7371	-0.2091	12.5
MRNA_PROCESSING	BLCA	STAT3|6774	-	SE	chr17:40498731-40500407:40500535-40540297		1.7371	-0.0467	56.25
MRNA_PROCESSING	BLCA	NCRNA00188|125144	+	SE	chr17:16342728-16342842:16343017-16343499		1.7369	-0.0435	37.5
MRNA_PROCESSING	BLCA	SLC29A1|2030	+	SE	chr6:44187519-44194997:44195079-44197127		1.7368	0.0143	31.25
MRNA_PROCESSING	BLCA	SEC16A|9919	-	SE	chr9:139372136-139373161:139373282-139377390		1.7367	-0.0905	43.75
MRNA_PROCESSING	BLCA	SCN5A|6331	-	A5	chr3:38593049-38595770:38593049-38595866	Observed	1.7366	0.0885	12.5
MRNA_PROCESSING	BLCA	CLEC10A|10462	-	A3	chr17:6979471-6980052:6979390-6980052		1.7365	0.0094	37.5
MRNA_PROCESSING	BLCA	SPRR1A|6698	+	A3	chr1:152956601-152957674:152956601-152957688		1.7364	0.0598	6.25
MRNA_PROCESSING	BLCA	EGR2|1959	-	RI	chr10:64571760:64572037-64572039:64574228		1.7361	0.0981	31.25
MRNA_PROCESSING	BLCA	SNX1|6642	+	A3	chr15:64429131-64429767:64429131-64430241		1.7361	-0.1402	56.25
MRNA_PROCESSING	BLCA	ZNF618|114991	+	SE	chr9:116779064-116791013:116791252-116794928		1.736	-0.0595	37.5
MRNA_PROCESSING	BLCA	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		1.7359	0.091	68.75
MRNA_PROCESSING	BLCA	TMEM177|80775	+	A5	chr2:120436852-120438408:120436801-120438408		1.7359	0.1306	37.5
MRNA_PROCESSING	BLCA	MYH11|4629	-	SE	chr16:15797980-15802660:15802698-15808766		1.7348	-0.2583	43.75
MRNA_PROCESSING	BLCA	GYG2|8908	+	SE	chrX:2793955-2795241:2795348-2799093		1.7346	-0.1051	37.5
MRNA_PROCESSING	BLCA	MLLT10|8028	+	SE	chr10:21977467-21997517:21997586-22002701		1.7332	-0.033	37.5
MRNA_PROCESSING	BLCA	GPR157|80045	-	SE	chr1:9164693-9165545:9165739-9171335		1.7258	-0.1277	37.5
MRNA_PROCESSING	BLCA	PLA1A|51365	+	A5	chr3:119327794-119328315:119327746-119328315		1.7199	-0.1659	12.5
MRNA_PROCESSING	BLCA	CSNK1A1|1452	-	A5	chr5:148876423-148885010:148876423-148885046		1.7151	-0.212	37.5
MRNA_PROCESSING	BLCA	ZNF761|388561	+	A5	chr19:53948472-53949480:53948376-53949480		1.7128	-0.0032	50
MRNA_PROCESSING	BLCA	TARBP2|6895	+	A5	chr12:53896996-53897514:53896913-53897514		1.7062	-0.1521	37.5
MRNA_PROCESSING	BLCA	AXL|558	+	SE	chr19:41745219-41745599:41745625-41748788		1.7008	-0.1275	50
MRNA_PROCESSING	BLCA	CDCA7|83879	+	SE	chr2:174223565-174223983:174224219-174227954		1.6994	0.0337	25
MRNA_PROCESSING	BLCA	SFI1|9814	+	SE	chr22:31904362-31924676:31924849-31942847		1.6993	-0.0193	31.25
MRNA_PROCESSING	BLCA	SIPA1|6494	+	RI	chr11:65413927:65414134-65414441:65414536		1.6868	0.0634	43.75
MRNA_PROCESSING	BLCA	PEX5|5830	+	A5	chr12:7342812-7342958:7342576-7342958		1.6848	0.1095	31.25
MRNA_PROCESSING	BLCA	RAVER2|55225	+	A3	chr1:65268744-65270417:65268744-65270456		1.6817	-0.0195	43.75
MRNA_PROCESSING	BLCA	CHRD|8646	+	SE	chr3:184103947-184104280:184104543-184104633		1.6816	-0.0903	50
MRNA_PROCESSING	BLCA	NAB1|4664	+	A3	chr2:191548553-191550202:191548553-191550205		1.6805	-0.0776	25
MRNA_PROCESSING	BLCA	ACTN1|87	-	A3	chr14:69345786-69346679:69345240-69346679		1.6783	0.344	81.25
MRNA_PROCESSING	BLCA	SCYL3|57147	-	A3	chr1:169838269-169839396:169838180-169839396		1.669	-0.0554	31.25
MRNA_PROCESSING	BLCA	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.3427	-0.0636	62.5
MRNA_PROCESSING	BLCA	PRPF4|9128	+	A3	chr9:116038050-116038825:116038050-116038828	Observed	1.3427	0.0054	56.25
MRNA_PROCESSING	BLCA	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	1.1831	0.2663	68.75
