# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	GLIPR1|11010	+	SE	chr12:75875859-75881519:75881589-75884186		4.0107	0.4926	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.7047	-0.5147	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		3.6713	0.4743	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.6174	0.5562	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	HCK|3055	+	A3	chr20:30661164-30661519:30661164-30661522		3.2506	0.3039	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	TRIM22|10346	+	A3	chr11:5718573-5719545:5718573-5719557		3.1784	0.4621	50
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	TBC1D10C|374403	+	SE	chr11:67174163-67174298:67174487-67176450		3.1616	0.2201	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	LRRFIP2|9209	-	SE	chr3:37125297-37132958:37133029-37136283		3.0775	0.5039	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		2.9384	0.3544	56.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		2.8822	0.5454	93.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	HLA-DMB|3109	-	MX	chr6:32902764-32903119:32903154-32904949:32902764-32903313:32903429-32904949		2.8716	0.222	68.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.8014	-0.4949	100
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	IDO1|3620	+	A5	chr8:39781109-39782240:39781105-39782240		2.7936	-0.2172	62.5
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.7628	-0.481	100
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	PLEK|5341	+	A3	chr2:68620377-68621239:68620377-68621243		2.7607	0.4361	18.75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	HLA-DMB|3109	-	SE	chr6:32903154-32903313:32903429-32904949		2.7336	-0.2133	25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	NCOR2|9612	-	A5	chr12:124810916-124811955:124810916-124812093		2.7284	-0.4626	75
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	SLC11A1|6556	+	RI	chr2:219251358:219251464-219251883:219251953		2.6511	-0.4391	81.25
INFLAMMATORY_RESPONSE_PATHWAY	BLCA	TNFSF13B|10673	+	SE	chr13:108922772-108939151:108939207-108955601		2.6357	0.2851	81.25
