# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	LIHC	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	5.8205	-0.6934	100
FOCAL_ADHESION_PATHWAY	LIHC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		5.7139	0.6064	68.75
FOCAL_ADHESION_PATHWAY	LIHC	ATP2A3|489	-	SE	chr17:3828735-3831275:3831332-3831957		4.9952	-0.6293	18.75
FOCAL_ADHESION_PATHWAY	LIHC	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.6934	-0.5578	100
FOCAL_ADHESION_PATHWAY	LIHC	TIE1|7075	+	SE	chr1:43773243-43773467:43773595-43774657		4.576	0.6551	56.25
FOCAL_ADHESION_PATHWAY	LIHC	ADCY3|109	-	A3	chr2:25051030-25053578:25050892-25053578		4.5628	0.608	43.75
FOCAL_ADHESION_PATHWAY	LIHC	ABI3BP|25890	-	SE	chr3:100513847-100515253:100515312-100523636		4.532	0.6236	81.25
FOCAL_ADHESION_PATHWAY	LIHC	CRISPLD2|83716	+	A3	chr16:84888435-84900503:84888435-84900506		4.1698	0.5799	50
FOCAL_ADHESION_PATHWAY	LIHC	MYOF|26509	-	SE	chr10:95082930-95083027:95083115-95085583		4.1476	0.6793	43.75
FOCAL_ADHESION_PATHWAY	LIHC	ADCY3|109	-	SE	chr2:25061491-25061716:25061781-25062742		4.145	-0.608	62.5
FOCAL_ADHESION_PATHWAY	LIHC	SORBS1|10580	-	SE	chr10:97170534-97174251:97174619-97181718		4.0653	0.6039	75
FOCAL_ADHESION_PATHWAY	LIHC	ZFP106|64397	-	A3	chr15:42732011-42734271:42731750-42734271		3.9965	0.5694	62.5
FOCAL_ADHESION_PATHWAY	LIHC	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543		3.7849	-0.62	87.5
FOCAL_ADHESION_PATHWAY	LIHC	ARAP3|64411	-	RI	chr5:141041251:141041356-141041610:141041822		3.7436	-0.612	56.25
FOCAL_ADHESION_PATHWAY	LIHC	LTBP1|4052	+	SE	chr2:33540336-33567905:33568030-33572434		3.7337	0.633	93.75
FOCAL_ADHESION_PATHWAY	LIHC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891		3.7236	-0.6017	75
FOCAL_ADHESION_PATHWAY	LIHC	JAG2|3714	-	A3	chr14:105613125-105613663:105613061-105613663		3.7065	-0.6408	37.5
FOCAL_ADHESION_PATHWAY	LIHC	MYOF|26509	-	SE	chr10:95099921-95101670:95101726-95103613		3.6519	-0.6793	68.75
FOCAL_ADHESION_PATHWAY	LIHC	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819		3.6108	0.5851	56.25
FOCAL_ADHESION_PATHWAY	LIHC	CD34|947	-	SE	chr1:208070918-208072318:208072571-208073166	Observed	3.5817	0.5773	25
FOCAL_ADHESION_PATHWAY	LIHC	C1QTNF1|114897	+	SE	chr17:77020576-77040037:77040205-77042637		3.5777	0.5131	62.5
FOCAL_ADHESION_PATHWAY	LIHC	TNK2|10188	-	SE	chr3:195593887-195594040:195594135-195594232		3.4966	-0.5665	31.25
FOCAL_ADHESION_PATHWAY	LIHC	ARMCX2|9823	-	A5	chrX:100913128-100913447:100913128-100913478		3.4818	0.5415	50
FOCAL_ADHESION_PATHWAY	LIHC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803556-196807922		3.4729	-0.5957	68.75
FOCAL_ADHESION_PATHWAY	LIHC	TMEM119|338773	-	RI	chr12:108983624:108984225-108984994:108986173		3.4649	0.3574	6.25
FOCAL_ADHESION_PATHWAY	LIHC	KIAA1274|27143	+	A3	chr10:72301290-72307062:72301290-72307066		3.4462	0.6258	50
FOCAL_ADHESION_PATHWAY	LIHC	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		3.4415	-0.2627	31.25
FOCAL_ADHESION_PATHWAY	LIHC	NOTCH4|4855	-	A5	chr6:32166336-32166426:32166336-32166435		3.4052	0.5518	50
FOCAL_ADHESION_PATHWAY	LIHC	SEMA3F|6405	+	SE	chr3:50211783-50212529:50212621-50214201		3.3634	-0.5079	56.25
FOCAL_ADHESION_PATHWAY	LIHC	DOCK8|81704	+	A5	chr9:368300-370230:368135-370230		3.327	-0.5356	37.5
FOCAL_ADHESION_PATHWAY	LIHC	MX2|4600	+	SE	chr21:42770946-42771123:42771264-42773897		3.2695	0.5422	75
FOCAL_ADHESION_PATHWAY	LIHC	AFTPH|54812	+	SE	chr2:64806680-64808324:64808407-64812556		3.26	-0.5012	50
FOCAL_ADHESION_PATHWAY	LIHC	ABI3BP|25890	-	SE	chr3:100499053-100506572:100506646-100508298		3.2438	-0.6427	56.25
FOCAL_ADHESION_PATHWAY	LIHC	QSOX1|5768	+	A5	chr1:180166025-180166468:180165734-180166468		3.2147	-0.5313	37.5
FOCAL_ADHESION_PATHWAY	LIHC	SLC30A5|64924	+	A3	chr5:68398955-68399789:68398955-68400458		3.2116	-0.5043	68.75
FOCAL_ADHESION_PATHWAY	LIHC	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		3.2033	0.4015	31.25
FOCAL_ADHESION_PATHWAY	LIHC	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		3.1731	0.5852	75
FOCAL_ADHESION_PATHWAY	LIHC	RAP1B|5908	+	SE	chr12:69045831-69047892:69048032-69050086		3.1652	0.5054	25
FOCAL_ADHESION_PATHWAY	LIHC	MBOAT1|154141	-	SE	chr6:20128984-20131375:20131430-20144451		3.1574	0.5258	43.75
FOCAL_ADHESION_PATHWAY	LIHC	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		3.1292	0.4732	100
FOCAL_ADHESION_PATHWAY	LIHC	ARID5A|10865	+	SE	chr2:97213254-97215058:97215196-97215490		3.121	0.5223	31.25
FOCAL_ADHESION_PATHWAY	LIHC	STK32C|282974	-	A3	chr10:134041693-134059404:134041632-134059404		3.1104	-0.3518	25
