# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
FOCAL_ADHESION_PATHWAY	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		5.8948	-0.6192	100
FOCAL_ADHESION_PATHWAY	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		5.363	0.66	100
FOCAL_ADHESION_PATHWAY	OV	MMP19|4327	-	SE	chr12:56231158-56231339:56231466-56231627		4.9083	0.6089	87.5
FOCAL_ADHESION_PATHWAY	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		4.7374	-0.6279	93.75
FOCAL_ADHESION_PATHWAY	OV	COL16A1|1307	-	A5	chr1:32121103-32121699:32121103-32122001	Observed	4.7265	-0.7228	100
FOCAL_ADHESION_PATHWAY	OV	MARK3|4140	+	MX	chr14:103958371-103964839:103964865-103969219:103958371-103966493:103966537-103969219		3.7739	0.4995	81.25
FOCAL_ADHESION_PATHWAY	OV	ITGBL1|9358	+	SE	chr13:102106451-102220050:102220196-102227775		3.7438	0.3654	75
FOCAL_ADHESION_PATHWAY	OV	LIMA1|51474	-	A3	chr12:50586347-50589613:50586344-50589613		3.6697	0.5284	68.75
FOCAL_ADHESION_PATHWAY	OV	APBB2|323	-	SE	chr4:40936716-40937094:40937156-40946882		3.6677	0.5245	68.75
FOCAL_ADHESION_PATHWAY	OV	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		3.6002	0.6132	81.25
FOCAL_ADHESION_PATHWAY	OV	NTM|50863	+	SE	chr11:132184597-132200047:132200079-132204940		3.5738	0.4069	75
FOCAL_ADHESION_PATHWAY	OV	COL8A1|1295	+	SE	chr3:99357508-99394504:99394565-99463741		3.4841	0.4778	68.75
FOCAL_ADHESION_PATHWAY	OV	SVEP1|79987	-	SE	chr9:113190038-113191091:113191182-113191423		3.4437	-0.6058	68.75
FOCAL_ADHESION_PATHWAY	OV	MMP11|4320	+	A3	chr22:24123596-24123975:24123596-24124555		3.3452	-0.2377	56.25
FOCAL_ADHESION_PATHWAY	OV	MYO18A|399687	-	SE	chr17:27409456-27412622:27412666-27413456		3.3428	0.4772	75
