# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	STAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		5.1325	0.6226	75
COMPLEMENT_PATHWAY	STAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		5.0912	-0.5926	93.75
COMPLEMENT_PATHWAY	STAD	ABI1|10006	-	SE	chr10:27059274-27060004:27060018-27065994		4.6778	0.6371	31.25
COMPLEMENT_PATHWAY	STAD	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.0939	-0.6586	93.75
COMPLEMENT_PATHWAY	STAD	ADD3|120	+	SE	chr10:111890244-111892063:111892158-111893084		4.0846	-0.5444	37.5
COMPLEMENT_PATHWAY	STAD	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.9242	-0.5998	93.75
COMPLEMENT_PATHWAY	STAD	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.8617	0.4836	87.5
COMPLEMENT_PATHWAY	STAD	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977		3.7843	-0.5723	81.25
COMPLEMENT_PATHWAY	STAD	PRMT2|3275	+	SE	chr21:48055675-48056351:48056459-48056808		3.7535	0.5673	31.25
COMPLEMENT_PATHWAY	STAD	FAM190B|54462	+	SE	chr10:86237420-86259631:86259715-86273205		3.7337	0.5291	62.5
COMPLEMENT_PATHWAY	STAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		3.7047	0.5848	75
COMPLEMENT_PATHWAY	STAD	ADAMTS10|81794	-	A3	chr19:8654469-8654773:8654458-8654773		3.5237	0.35	31.25
COMPLEMENT_PATHWAY	STAD	SPTAN1|6709	+	SE	chr9:131353904-131355262:131355321-131356454		3.4487	-0.5551	68.75
COMPLEMENT_PATHWAY	STAD	ESYT2|57488	-	SE	chr7:158542414-158545472:158545534-158552177		3.334	-0.5532	25
COMPLEMENT_PATHWAY	STAD	MBNL1|4154	+	SE	chr3:152165562-152173331:152173366-152174056		3.3082	0.4562	68.75
COMPLEMENT_PATHWAY	STAD	EXOC1|55763	+	SE	chr4:56750094-56755054:56755098-56756389		3.2367	-0.572	81.25
COMPLEMENT_PATHWAY	STAD	NUMB|8650	-	SE	chr14:73744001-73745989:73746132-73749067		3.1966	-0.4525	56.25
COMPLEMENT_PATHWAY	STAD	TPM1|7168	+	MX	chr15:63353138-63353397:63353472-63354414:63353138-63353912:63353987-63354414		3.1689	-0.4895	62.5
COMPLEMENT_PATHWAY	STAD	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		3.1548	-0.4638	87.5
COMPLEMENT_PATHWAY	STAD	SLK|9748	+	SE	chr10:105768114-105770574:105770666-105777918		3.1216	-0.4461	62.5
