# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
APOPTOSIS	KIRP	ABI1|10006	-	SE	chr10:27040712-27047991:27048164-27054147		2.7991	-0.3005	68.75
APOPTOSIS	KIRP	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.4173	0.3358	62.5
APOPTOSIS	KIRP	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.3235	-0.4275	81.25
APOPTOSIS	KIRP	CACNA2D3|55799	+	SE	chr3:54913116-54913377:54913438-54914823		2.2156	0.153	37.5
APOPTOSIS	KIRP	TCF20|6942	-	SE	chr22:42557364-42564615:42564742-42565853		2.1268	-0.2233	43.75
APOPTOSIS	KIRP	FAM113A|64773	-	A3	chr20:2819728-2819838:2819575-2819838		2.1145	-0.1884	43.75
APOPTOSIS	KIRP	SLC10A3|8273	-	RI	chrX:153715652:153716835-153716923:153717421		2.109	0.1618	6.25
APOPTOSIS	KIRP	ITGB7|3695	-	A5	chr12:53594230-53594856:53594230-53594902		2.0847	0.3718	93.75
APOPTOSIS	KIRP	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		2.0802	-0.456	100
APOPTOSIS	KIRP	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		2.0671	0.3903	93.75
APOPTOSIS	KIRP	SLC22A18AS|5003	-	SE	chr11:2909865-2920626:2921020-2923814		1.995	0.2889	50
APOPTOSIS	KIRP	GBP5|115362	-	SE	chr1:89735257-89736438:89736545-89738135		1.9735	0.1122	87.5
APOPTOSIS	KIRP	CHIT1|1118	-	SE	chr1:203191453-203192263:203192387-203192623		1.9452	0.0269	31.25
APOPTOSIS	KIRP	TSGA14|95681	-	SE	chr7:130038880-130039880:130040095-130040548		1.943	0.1404	50
APOPTOSIS	KIRP	MORF4L2|9643	-	SE	chrX:102931979-102933427:102933528-102940099		1.9187	0.0605	31.25
APOPTOSIS	KIRP	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		1.9124	0.2924	62.5
APOPTOSIS	KIRP	EXOC7|23265	-	A3	chr17:74086562-74087224:74086478-74087224		1.8942	0.0166	43.75
APOPTOSIS	KIRP	ZMYM5|9205	-	RI	chr13:20425495:20425588-20425829:20426330		1.8686	0.1923	18.75
APOPTOSIS	KIRP	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		1.819	-0.3533	87.5
APOPTOSIS	KIRP	TSPAN32|10077	+	SE	chr11:2324188-2324640:2324711-2325337		1.8169	-0.1599	62.5
APOPTOSIS	KIRP	C18orf1|753	+	A5	chr18:13612773-13621116:13612063-13621116		1.7976	0.254	75
APOPTOSIS	KIRP	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		1.781	0.3903	75
APOPTOSIS	KIRP	SARDH|1757	-	A3	chr9:136532058-136535706:136531992-136535706		1.775	0.244	62.5
APOPTOSIS	KIRP	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088	Observed	1.7689	0.363	93.75
APOPTOSIS	KIRP	SEC31B|25956	-	SE	chr10:102268859-102269073:102269268-102275853		1.7372	-0.0639	43.75
APOPTOSIS	KIRP	C22orf25|128989	+	SE	chr22:20040107-20043466:20043536-20049053		1.7371	-0.123	50
APOPTOSIS	KIRP	ESRP1|54845	+	MX	chr8:95690599-95704905:95705055-95718153:95690599-95709080:95709189-95718153		1.7371	-0.0307	37.5
APOPTOSIS	KIRP	VARS2|57176	+	SE	chr6:30882121-30882582:30882814-30882933		1.7307	-0.0115	31.25
APOPTOSIS	KIRP	UPK3B|80761	+	SE	chr7:76141199-76142401:76142480-76143264		1.728	0.1836	62.5
APOPTOSIS	KIRP	MDM1|56890	-	SE	chr12:68710033-68710361:68710390-68715127		1.7239	-0.0838	37.5
APOPTOSIS	KIRP	psiTPTE22|387590	+	RI	chr22:17094967:17095068-17095589:17095998		1.7145	-0.0291	25
APOPTOSIS	KIRP	PDE6G|5148	-	SE	chr17:79618715-79620190:79620394-79623523		1.7126	0.2624	43.75
APOPTOSIS	KIRP	PFKM|5213	+	SE	chr12:48528821-48529074:48529166-48531504		1.708	-0.297	43.75
APOPTOSIS	KIRP	SLC26A11|284129	+	SE	chr17:78194295-78194718:78194914-78195347		1.7062	0.1088	25
APOPTOSIS	KIRP	IL12RB2|3595	+	SE	chr1:67838217-67838308:67838466-67845669		1.7042	0.1571	31.25
APOPTOSIS	KIRP	APBB2|323	-	SE	chr4:40936716-40937094:40937156-40946882		1.6959	0.1449	43.75
APOPTOSIS	KIRP	TMEM91|641649	+	RI	chr19:41888677:41888826-41889791:41889985		1.6949	-0.1671	43.75
APOPTOSIS	KIRP	ARMC8|25852	+	A3	chr3:137906441-137907243:137906441-137907297		1.6794	0.1052	31.25
APOPTOSIS	KIRP	TNFAIP2|7127	+	SE	chr14:103593966-103596077:103596191-103596339		1.6792	-0.0946	37.5
APOPTOSIS	KIRP	EIF2C3|192669	+	SE	chr1:36437833-36438976:36439112-36469942		1.6774	-0.1479	12.5
APOPTOSIS	KIRP	SDCCAG1|9147	-	SE	chr14:50304924-50307436:50307584-50312858		1.6741	0.0651	12.5
APOPTOSIS	KIRP	NUMA1|4926	-	SE	chr11:71721900-71723447:71723488-71723941	Observed	1.6702	0.1419	50
APOPTOSIS	KIRP	TROAP|10024	+	RI	chr12:49723928:49724726-49724997:49725190		1.67	-0.032	75
APOPTOSIS	KIRP	MIPOL1|145282	+	SE	chr14:37667309-37696931:37697043-37716308		1.6638	-0.071	43.75
APOPTOSIS	KIRP	GATS|352954	-	SE	chr7:99800226-99810670:99810756-99820220		1.6588	-0.0523	56.25
APOPTOSIS	KIRP	C10orf58|84293	+	A3	chr10:82168399-82180222:82168399-82180239		1.6556	-0.0655	37.5
APOPTOSIS	KIRP	ZNF155|7711	+	A5	chr19:44488474-44492611:44488397-44492611		1.6556	-0.0296	31.25
APOPTOSIS	KIRP	EMILIN1|11117	+	A5	chr2:27306894-27307283:27306879-27307283		1.6521	-0.0908	37.5
APOPTOSIS	KIRP	CSAD|51380	-	MX	chr12:53567554-53572886:53572926-53574351:53567554-53573561:53573796-53574351		1.6516	0.0771	18.75
