# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
INFLAMMATORY_RESPONSE_PATHWAY	CESC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785	Observed	5.3929	0.5011	87.5
INFLAMMATORY_RESPONSE_PATHWAY	CESC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		3.4948	0.5268	93.75
INFLAMMATORY_RESPONSE_PATHWAY	CESC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		3.457	-0.4196	68.75
INFLAMMATORY_RESPONSE_PATHWAY	CESC	NAGS|162417	+	RI	chr17:42083897:42084077-42084691:42084862		3.3089	-0.3882	56.25
INFLAMMATORY_RESPONSE_PATHWAY	CESC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.2364	-0.3723	100
INFLAMMATORY_RESPONSE_PATHWAY	CESC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		2.9053	0.3978	93.75
INFLAMMATORY_RESPONSE_PATHWAY	CESC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		2.8556	-0.3925	100
INFLAMMATORY_RESPONSE_PATHWAY	CESC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		2.7865	0.3978	87.5
INFLAMMATORY_RESPONSE_PATHWAY	CESC	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		2.6792	-0.4411	93.75
INFLAMMATORY_RESPONSE_PATHWAY	CESC	SIGLEC1|6614	-	SE	chr20:3669266-3669802:3669874-3670247		2.6017	0.1596	56.25
