# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_PATHWAY	CESC	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		6.105	0.4871	81.25
COMPLEMENT_PATHWAY	CESC	IL16|3603	+	A3	chr15:81589419-81591645:81589419-81591721		4.4156	0.3151	93.75
COMPLEMENT_PATHWAY	CESC	LOC96610|96610	+	A3	chr22:22658479-22661155:22658479-22661198		4.359	0.4428	68.75
COMPLEMENT_PATHWAY	CESC	DERL3|91319	-	RI	chr22:24176691:24179149-24179251:24179341		4.259	-0.42	75
COMPLEMENT_PATHWAY	CESC	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.1344	0.4452	81.25
COMPLEMENT_PATHWAY	CESC	LOC96610|96610	+	A5	chr22:22661386-22661471:22661268-22661471		4.1215	-0.4944	87.5
COMPLEMENT_PATHWAY	CESC	GSDMB|55876	-	SE	chr17:38062524-38063214:38063240-38065211		4.0119	0.3579	31.25
COMPLEMENT_PATHWAY	CESC	LOC96610|96610	+	SE	chr22:22676227-22676828:22676909-22677019		3.655	0.4395	93.75
COMPLEMENT_PATHWAY	CESC	FASLG|356	+	SE	chr1:172628689-172629235:172629280-172633474		3.5546	0.3409	56.25
COMPLEMENT_PATHWAY	CESC	TTN|7273	-	SE	chr2:179392034-179392173:179392475-179393001		3.5495	-0.447	81.25
COMPLEMENT_PATHWAY	CESC	C1QC|714	+	A5	chr1:22970379-22970504:22970230-22970504		3.5389	-0.209	81.25
COMPLEMENT_PATHWAY	CESC	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		3.5361	0.4395	93.75
COMPLEMENT_PATHWAY	CESC	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		3.5249	-0.3502	93.75
COMPLEMENT_PATHWAY	CESC	HSH2D|84941	+	A3	chr19:16263451-16263842:16263451-16263853		3.4971	0.2356	43.75
COMPLEMENT_PATHWAY	CESC	KLRK1|22914	-	SE	chr12:10531304-10532046:10532081-10532299		3.4098	0.3821	75
COMPLEMENT_PATHWAY	CESC	SH2D2A|9047	-	A3	chr1:156785886-156786467:156785855-156786467		3.3876	0.1317	56.25
COMPLEMENT_PATHWAY	CESC	LILRB2|10288	-	A3	chr19:54781454-54781743:54781451-54781743		3.3308	0.0786	81.25
COMPLEMENT_PATHWAY	CESC	LST1|7940	+	A3	chr6:31555743-31556295:31555743-31556340		3.3018	-0.2967	62.5
COMPLEMENT_PATHWAY	CESC	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.2552	-0.4366	93.75
COMPLEMENT_PATHWAY	CESC	ARHGAP25|9938	+	A3	chr2:69015088-69034405:69015088-69034408		3.1641	0.1805	75
COMPLEMENT_PATHWAY	CESC	LOC96610|96610	+	SE	chr22:22652576-22657569:22657573-22657589		3.1311	0.4875	100
COMPLEMENT_PATHWAY	CESC	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		2.973	0.2085	75
COMPLEMENT_PATHWAY	CESC	LILRB1|10859	+	RI	chr19:55147008:55147060-55147945:55148103		2.9716	-0.2586	81.25
COMPLEMENT_PATHWAY	CESC	PDCD1LG2|80380	+	A3	chr9:5549604-5557618:5549604-5557623		2.9688	0.3607	62.5
COMPLEMENT_PATHWAY	CESC	GATA3|2625	+	A3	chr10:8100804-8105956:8100804-8105959	Observed	2.9031	0.1662	56.25
COMPLEMENT_PATHWAY	CESC	PARP3|10039	+	A3	chr3:51976724-51977365:51976724-51977370		2.8732	0.1841	37.5
COMPLEMENT_PATHWAY	CESC	PTPN7|5778	-	A3	chr1:202127429-202128409:202127376-202128409		2.871	0.1232	68.75
COMPLEMENT_PATHWAY	CESC	HSH2D|84941	+	A5	chr19:16264018-16265209:16264014-16265209		2.8686	-0.2222	50
COMPLEMENT_PATHWAY	CESC	FYN|2534	-	SE	chr6:112017659-112020718:112020873-112024088		2.8591	0.2049	87.5
COMPLEMENT_PATHWAY	CESC	SP140|11262	+	SE	chr2:231109795-231110578:231110655-231112631		2.756	0.1971	75
COMPLEMENT_PATHWAY	CESC	PRF1|5551	-	A3	chr10:72360688-72362401:72360662-72362401		2.75	0.2766	75
COMPLEMENT_PATHWAY	CESC	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.6728	-0.3591	87.5
COMPLEMENT_PATHWAY	CESC	JAKMIP1|152789	-	SE	chr4:6087356-6107200:6107694-6114449		2.5791	-0.0347	50
COMPLEMENT_PATHWAY	CESC	ENTPD1|953	+	SE	chr10:97515523-97582994:97583121-97599448		2.5554	0.3367	68.75
