# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
S_PHASE	KIRP	MCM7|4176	-	RI	chr7:99696646:99696826-99696902:99697026		6.2341	-0.6098	25
S_PHASE	KIRP	EFCAB4A|283229	+	RI	chr11:830866:831032-831224:831295		4.0602	0.3624	75
S_PHASE	KIRP	LRBA|987	-	SE	chr4:151512011-151518235:151518267-151520159		3.8563	-0.3558	12.5
S_PHASE	KIRP	TCEA2|6919	+	RI	chr20:62701118:62701154-62701590:62701767		3.5624	-0.4175	31.25
S_PHASE	KIRP	EFCAB4A|283229	+	RI	chr11:830250:830337-830621:830713		3.0876	0.3562	50
S_PHASE	KIRP	ZSCAN29|146050	-	A3	chr15:43656685-43658308:43656580-43658308		2.8611	-0.2894	6.25
S_PHASE	KIRP	CDC37|11140	-	RI	chr19:10505904:10506019-10506111:10506219		2.7337	-0.3053	18.75
S_PHASE	KIRP	RPL11|6135	+	A3	chr1:24018319-24019099:24018319-24019102		2.7051	0.0023	31.25
S_PHASE	KIRP	ZKSCAN5|23660	+	SE	chr7:99110214-99117450:99117532-99123436		2.6726	-0.2553	68.75
S_PHASE	KIRP	TMEM205|374882	-	RI	chr19:11456196:11456413-11456803:11456981		2.6332	-0.3343	18.75
S_PHASE	KIRP	GATS|352954	-	SE	chr7:99800226-99809017:99809617-99810670		2.6217	-0.3658	50
S_PHASE	KIRP	SSFA2|6744	+	SE	chr2:182784173-182785324:182785377-182786675		2.5961	0.3199	43.75
S_PHASE	KIRP	UBR2|23304	+	MX	chr6:42583828-42584978:42585076-42600290:42583828-42585147:42585245-42600290		2.5678	-0.2991	37.5
S_PHASE	KIRP	ARMC6|93436	+	A5	chr19:19144822-19153520:19144739-19153520		2.5364	0.2724	75
S_PHASE	KIRP	EGFL8|80864	+	A5	chr6:32132458-32133915:32132434-32133915		2.429	0.3901	56.25
S_PHASE	KIRP	C9orf86|55684	+	RI	chr9:139726717:139726822-139728172:139728792		2.4134	-0.3109	62.5
S_PHASE	KIRP	SMUG1|23583	-	MX	chr12:54577743-54581603:54581689-54582735:54577743-54582299:54582380-54582735		2.387	0.3474	75
S_PHASE	KIRP	IL32|9235	+	SE	chr16:3115495-3115622:3115688-3115785		2.3785	0.3118	68.75
S_PHASE	KIRP	PTGES3|10728	-	SE	chr12:57058584-57059416:57060050-57064059		2.3343	-0.2925	68.75
S_PHASE	KIRP	MYL5|4636	+	A3	chr4:669998-672447:669998-672455		2.3245	0.386	56.25
S_PHASE	KIRP	METT11D1|64745	+	RI	chr14:21464686:21464870-21464944:21465192		2.3221	-0.3423	37.5
S_PHASE	KIRP	NTAN1|123803	-	SE	chr16:15141777-15141854:15141956-15149748		2.2224	0.2224	62.5
S_PHASE	KIRP	SEMA3B|7869	+	RI	chr3:50310966:50311077-50311175:50311259		2.2155	-0.3487	31.25
S_PHASE	KIRP	POLL|27343	-	SE	chr10:103343438-103344635:103344676-103347003		2.2039	0.32	25
S_PHASE	KIRP	NEK3|4752	-	A3	chr13:52728308-52730210:52728290-52730210		2.1769	-0.2255	43.75
S_PHASE	KIRP	RPL23AP53|644128	-	SE	chr8:169417-180804:180907-182129		2.1549	0.2965	50
S_PHASE	KIRP	RPS24|6229	+	SE	chr10:79797062-79799962:79799983-79800373		2.1461	-0.306	87.5
S_PHASE	KIRP	ZNF138|7697	+	SE	chr7:64275422-64275950:64276031-64291829		2.1457	0.1514	43.75
S_PHASE	KIRP	FAM199X|139231	+	A5	chrX:103432987-103434289:103432858-103434289		2.1449	-0.3022	50
S_PHASE	KIRP	SAP130|79595	-	A3	chr2:128744536-128747138:128744533-128747138		2.1116	-0.1719	50
S_PHASE	KIRP	C6orf164|63914	+	A3	chr6:88108095-88109152:88108095-88109156		2.1038	0.2226	31.25
S_PHASE	KIRP	DCAF6|55827	+	SE	chr1:167974031-167992226:167992285-168007609		2.0952	0.2887	25
S_PHASE	KIRP	DNAL1|83544	+	SE	chr14:74121588-74125550:74125659-74128690		2.0939	0.1113	37.5
S_PHASE	KIRP	LYRM1|57149	+	SE	chr16:20911857-20913808:20914039-20926878		2.0935	-0.3083	25
S_PHASE	KIRP	COASY|80347	+	RI	chr17:40714092:40714237-40714951:40715340		2.0915	-0.2791	50
S_PHASE	KIRP	ZNF662|389114	+	RI	chr3:42949514:42949640-42950288:42950401		2.0835	-0.3627	50
S_PHASE	KIRP	ZNF692|55657	-	A3	chr1:249152264-249152330:249152058-249152330		2.0825	-0.3126	68.75
S_PHASE	KIRP	LPXN|9404	-	A5	chr11:58338186-58345459:58338186-58345492		2.0786	0.059	25
S_PHASE	KIRP	RPL14|9045	+	A5	chr3:40498965-40499381:40498854-40499381		2.0745	-0.2085	75
S_PHASE	KIRP	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		2.0554	0.2396	37.5
S_PHASE	KIRP	DLEC1|9940	+	SE	chr3:38163272-38163562:38163685-38163780		2.0487	-0.2709	50
S_PHASE	KIRP	PDLIM7|9260	-	A3	chr5:176917594-176917871:176916833-176917871		2.0479	-0.3808	12.5
S_PHASE	KIRP	CCDC130|81576	+	RI	chr19:13869682:13869824-13869914:13870086		2.0471	-0.3259	43.75
S_PHASE	KIRP	ALG9|79796	-	SE	chr11:111731358-111735904:111735974-111739325		2.0282	0.1219	56.25
S_PHASE	KIRP	MAGIX|79917	+	SE	chrX:49021127-49021246:49021428-49021528		2.0201	0.21	37.5
S_PHASE	KIRP	FKBP1B|2281	+	A3	chr2:24283796-24285889:24283796-24285934		2.0122	-0.0347	31.25
S_PHASE	KIRP	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.0093	-0.2807	25
S_PHASE	KIRP	PAPLN|89932	+	SE	chr14:73717738-73718194:73718274-73718372		2.0041	0.1931	43.75
S_PHASE	KIRP	C19orf60|55049	+	RI	chr19:18699805:18699887-18700289:18700493		2.0029	-0.2416	43.75
S_PHASE	KIRP	MOCS1|4337	-	SE	chr6:39874893-39876816:39876878-39877579		2.0028	0.0434	62.5
S_PHASE	KIRP	CIT|11113	-	A3	chr12:120156666-120158283:120156621-120158283		2.0013	0.2127	43.75
S_PHASE	KIRP	BCAR1|9564	-	MX	chr16:75276988-75286133:75286296-75299723:75276988-75298249:75298499-75299723		1.9964	-0.1458	18.75
S_PHASE	KIRP	GAPDH|2597	+	RI	chr12:6645850:6645983-6646086:6646176		1.9867	-0.3735	25
S_PHASE	KIRP	KIAA1614|57710	+	SE	chr1:180897709-180904251:180905806-180907691		1.9752	-0.2735	68.75
S_PHASE	KIRP	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		1.9548	-0.2517	62.5
S_PHASE	KIRP	MGAT4B|11282	-	A3	chr5:179226310-179226506:179226307-179226506		1.953	-0.2711	31.25
S_PHASE	KIRP	CACNA2D4|93589	-	SE	chr12:1910284-1910740:1910810-1919444		1.9455	-0.118	37.5
S_PHASE	KIRP	POLL|27343	-	MX	chr10:103344676-103345619:103345913-103347961:103344676-103347003:103347163-103347961		1.9425	-0.3613	50
S_PHASE	KIRP	SENP1|29843	-	SE	chr12:48482743-48482946:48483076-48490126		1.9406	-0.2294	6.25
S_PHASE	KIRP	MUC1|4582	-	MX	chr1:155160052-155160198:155160334-155160639:155160052-155160484:155160539-155160639		1.9339	-0.007	37.5
S_PHASE	KIRP	S100A1|6271	+	A3	chr1:153603138-153603988:153603138-153604174		1.9307	-0.2271	37.5
S_PHASE	KIRP	MPST|4357	+	A5	chr22:37415913-37419793:37415815-37419793		1.9268	-0.3574	43.75
S_PHASE	KIRP	FAM111B|374393	+	SE	chr11:58876185-58877013:58877179-58891652		1.9222	0.231	56.25
S_PHASE	KIRP	PPHLN1|51535	+	A3	chr12:42836543-42838849:42836543-42839775		1.9194	-0.3816	68.75
S_PHASE	KIRP	TMEM44|93109	-	A3	chr3:194325174-194331645:194325170-194331645		1.9191	-0.2308	37.5
