# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
TRANSLATION	LUSC	ACACA|31	-	SE	chr17:35641871-35646320:35646430-35687113	Observed	3.4512	0.4596	56.25
TRANSLATION	LUSC	DHX9|1660	+	RI	chr1:182852274:182852351-182852455:182852503	Observed	3.4473	-0.5374	81.25
TRANSLATION	LUSC	MECP2|4204	-	SE	chrX:153298008-153357642:153357765-153363061	Observed	3.1085	-0.5118	87.5
TRANSLATION	LUSC	FBN1|2200	-	SE	chr15:48719970-48720079:48720140-48720543	Observed	3.0458	0.5883	87.5
TRANSLATION	LUSC	CARD8|22900	-	SE	chr19:48718641-48722128:48722269-48724987	Observed	2.8312	-0.4308	37.5
TRANSLATION	LUSC	VARS2|57176	+	SE	chr6:30889468-30889702:30889772-30889893	Observed	2.716	-0.5184	43.75
TRANSLATION	LUSC	PQBP1|10084	+	RI	chrX:48755539:48755629-48755775:48755859	Observed	2.5392	-0.3055	50
TRANSLATION	LUSC	FLII|2314	-	A3	chr17:18155130-18155313:18155127-18155313	Observed	2.4296	-0.517	75
TRANSLATION	LUSC	TRAPPC2|6399	-	SE	chrX:13738101-13752169:13752304-13752644	Observed	2.2626	-0.3179	75
TRANSLATION	LUSC	MEN1|4221	-	A5	chr11:64577604-64577740:64577604-64577986	Observed	2.2008	-0.2605	56.25
TRANSLATION	LUSC	SHC1|6464	-	A5	chr1:154936407-154938019:154936407-154938115	Observed	2.1863	-0.4701	62.5
TRANSLATION	LUSC	ILF3|3609	+	A3	chr19:10794646-10795092:10794646-10795535	Observed	2.057	-0.4653	81.25
TRANSLATION	LUSC	EIF4G3|8672	-	SE	chr1:21231464-21267984:21268823-21276496	Observed	2.0258	-0.5159	81.25
TRANSLATION	LUSC	TP53|7157	-	SE	chr17:7573008-7573927:7574033-7576853	Observed	1.9837	-0.4288	62.5
TRANSLATION	LUSC	ELN|2006	+	SE	chr7:73471043-73471970:73472026-73474216	Observed	1.9825	-0.3358	75
TRANSLATION	LUSC	FN1|2335	-	RI	chr2:216236632:216236738-216236832:216237098	Observed	1.9816	0.4909	81.25
TRANSLATION	LUSC	FGFR1|2260	-	A5	chr8:38272419-38273363:38272419-38273388	Observed	1.9553	0.3459	62.5
TRANSLATION	LUSC	DYSF|8291	+	SE	chr2:71840540-71847677:71847739-71871095	Observed	1.7435	0.3778	62.5
TRANSLATION	LUSC	USP7|7874	-	A5	chr16:8989598-8990852:8989598-8990856	Observed	1.7149	0.3939	68.75
TRANSLATION	LUSC	NIPBL|25836	+	A5	chr5:37064121-37064629:37064080-37064629	Observed	1.6578	0.4516	81.25
TRANSLATION	LUSC	NIPBL|25836	+	RI	chr5:37063892:37064121-37064629:37065920	Observed	1.6327	-0.3288	68.75
TRANSLATION	LUSC	MSH2|4436	+	SE	chr2:47639699-47641408:47641557-47643435	Observed	1.6235	-0.5555	68.75
TRANSLATION	LUSC	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291	Observed	1.5587	-0.3343	81.25
TRANSLATION	LUSC	PKD2|5311	+	SE	chr4:88977419-88979135:88979255-88983058	Observed	1.5119	-0.442	68.75
TRANSLATION	LUSC	POMT1|10585	+	MX	chr9:134381840-134382755:134382901-134385130:134381840-134384298:134384409-134385130	Observed	1.4156	-0.2707	68.75
TRANSLATION	LUSC	PML|5371	+	A3	chr15:74317268-74325497:74317268-74326819	Observed	1.4156	-0.2087	75
TRANSLATION	LUSC	TRAPPC2|6399	-	A5	chrX:13738101-13752163:13738101-13752169	Observed	1.4155	0.1884	56.25
TRANSLATION	LUSC	EIF4G3|8672	-	SE	chr1:21268823-21276496:21276604-21295967	Observed	1.4149	-0.472	62.5
TRANSLATION	LUSC	MKNK2|2872	-	A3	chr19:2039855-2040133:2037828-2040133	Observed	1.3904	-0.4358	75
TRANSLATION	LUSC	EDNRB|1910	-	A3	chr13:78472469-78473994:78470693-78473994	Observed	1.3769	-0.216	68.75
TRANSLATION	LUSC	CEACAM1|634	-	SE	chr19:43015072-43015728:43015780-43016502	Observed	1.3493	-0.1529	68.75
TRANSLATION	LUSC	DLG1|1739	-	SE	chr3:196869639-196876614:196876667-196921296	Observed	1.3263	-0.317	68.75
TRANSLATION	LUSC	SYNE1|23345	-	SE	chr6:152615262-152621776:152621916-152623004	Observed	1.2712	-0.3131	93.75
TRANSLATION	LUSC	DMPK|1760	-	A3	chr19:46274318-46274608:46274314-46274608	Observed	1.2011	-0.2675	75
TRANSLATION	LUSC	PPOX|5498	+	RI	chr1:161136890:161137024-161137161:161137276	Observed	1.1755	-0.2805	62.5
TRANSLATION	LUSC	AURKA|6790	-	SE	chr20:54963258-54965612:54965721-54967224	Observed	1.1701	-0.2482	56.25
TRANSLATION	LUSC	ERG|2078	-	SE	chr21:39764366-39772496:39772567-39774479	Observed	1.169	0.0153	56.25
TRANSLATION	LUSC	RPAIN|84268	+	SE	chr17:5329402-5329556:5329619-5335862	Observed	1.104	-0.0361	56.25
TRANSLATION	LUSC	DSP|1832	+	A5	chr6:7581802-7582875:7580005-7582875	Observed	1.0173	-0.5137	62.5
TRANSLATION	LUSC	AOX1|316	+	SE	chr2:201474137-201476107:201476216-201477332	Observed	1.0005	-0.3713	68.75
TRANSLATION	LUSC	ARHGEF15|22899	+	SE	chr17:8215958-8216240:8216572-8216819	Observed	1.0005	-0.3104	62.5
TRANSLATION	LUSC	MEN1|4221	-	A5	chr11:64577604-64577986:64577604-64577998	Observed	1.0005	0.1319	62.5
TRANSLATION	LUSC	POMT1|10585	+	SE	chr9:134378460-134381501:134381607-134381790	Observed	1.0005	-0.0809	56.25
TRANSLATION	LUSC	VARS2|57176	+	SE	chr6:30882121-30882582:30882814-30882933	Observed	1.0005	-0.0663	62.5
TRANSLATION	LUSC	ADARB1|104	+	SE	chr21:46603425-46604389:46604508-46604838	Observed	0.985	-0.0473	56.25
TRANSLATION	LUSC	EIF4G3|8672	-	MX	chr1:21231464-21267984:21268823-21295967:21231464-21276496:21276604-21295967	Observed	0.9147	-0.4351	56.25
TRANSLATION	LUSC	CARD8|22900	-	SE	chr19:48744320-48752780:48752890-48753008	Observed	0.74	-0.3567	56.25
TRANSLATION	LUSC	C3|718	-	A5	chr19:6685157-6686131:6685157-6686135	Observed	0.6689	0.5458	56.25
TRANSLATION	LUSC	RPS6KA1|6195	+	SE	chr1:26863460-26873358:26873474-26873680	Observed	0.5786	-0.3971	62.5
TRANSLATION	LUSC	NFAT5|10725	+	SE	chr16:69660431-69680420:69680481-69680931	Observed	0.5775	-0.1176	62.5
TRANSLATION	LUSC	FES|2242	+	SE	chr15:91428488-91428642:91428815-91430191	Observed	0.563	-0.4185	68.75
TRANSLATION	LUSC	FGFR1|2260	-	RI	chr8:38275746:38275889-38275890:38275891	Observed	0.5171	0.3378	62.5
TRANSLATION	LUSC	DLG1|1739	-	MX	chr3:196796131-196802708:196802741-196807922:196796131-196803457:196803553-196807922	Observed	0.467	0.2084	68.75
TRANSLATION	LUSC	MAPT|4137	+	SE	chr17:44055806-44060544:44061296-44064406	Observed	0.2774	-0.1356	68.75
TRANSLATION	LUSC	MAP3K7|6885	-	SE	chr6:91246120-91254271:91254351-91256977	Observed	0.0669	0.2111	62.5
