# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
COMPLEMENT_ACTIVATION	OV	MBNL1|4154	+	SE	chr3:152163328-152164493:152164546-152165409		4.9074	-0.554	87.5
COMPLEMENT_ACTIVATION	OV	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.8696	-0.524	93.75
COMPLEMENT_ACTIVATION	OV	PTPN7|5778	-	SE	chr1:202126951-202127246:202127429-202128409		4.2261	0.3603	62.5
COMPLEMENT_ACTIVATION	OV	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		4.1031	0.4934	100
COMPLEMENT_ACTIVATION	OV	FYN|2534	-	MX	chr6:112017659-112020718:112020873-112024088:112017659-112021307:112021471-112024088		4.0307	0.4557	68.75
COMPLEMENT_ACTIVATION	OV	MMP19|4327	-	A5	chr12:56231791-56232284:56231791-56232390		4.0034	-0.4783	81.25
COMPLEMENT_ACTIVATION	OV	TRPM2|7226	+	SE	chr21:45846619-45846893:45846994-45855014		3.9887	0.5047	68.75
COMPLEMENT_ACTIVATION	OV	CACNA2D4|93589	-	SE	chr12:1919506-1919709:1919753-1920828		3.8688	-0.502	75
COMPLEMENT_ACTIVATION	OV	CACNA2D4|93589	-	A5	chr12:1909604-1910209:1909604-1910215		3.7935	0.5068	75
COMPLEMENT_ACTIVATION	OV	KCNAB2|8514	+	SE	chr1:6100705-6101891:6101932-6132815		3.5621	-0.4211	81.25
COMPLEMENT_ACTIVATION	OV	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		3.4982	-0.5441	75
COMPLEMENT_ACTIVATION	OV	QKI|9444	+	RI	chr6:163984452:163984751-163986978:163991169		3.4809	-0.4625	37.5
COMPLEMENT_ACTIVATION	OV	TMEM156|80008	-	A3	chr4:38972757-38987956:38972754-38987956		3.4474	0.2625	56.25
COMPLEMENT_ACTIVATION	OV	LAG3|3902	+	RI	chr12:6886957:6887087-6887410:6887619		3.4146	-0.4437	81.25
COMPLEMENT_ACTIVATION	OV	SGSM2|9905	+	SE	chr17:2268635-2270565:2270699-2274556		3.331	0.3883	31.25
COMPLEMENT_ACTIVATION	OV	FCGR2A|2212	+	A3	chr1:161475797-161476124:161475797-161476127		3.2652	0.1091	50
COMPLEMENT_ACTIVATION	OV	FGD3|89846	+	A3	chr9:95795155-95796823:95795155-95796826		3.1303	-0.5114	75
COMPLEMENT_ACTIVATION	OV	PTK2B|2185	+	SE	chr8:27301788-27303311:27303436-27308266		3.102	-0.4298	100
COMPLEMENT_ACTIVATION	OV	CLEC7A|64581	-	SE	chr12:10275962-10277686:10277772-10277896		2.9862	0.4019	31.25
COMPLEMENT_ACTIVATION	OV	FMNL1|752	+	SE	chr17:43323697-43323872:43323971-43324234		2.9203	0.406	50
COMPLEMENT_ACTIVATION	OV	MMP19|4327	-	SE	chr12:56232518-56233280:56233525-56234451		2.8531	0.4472	87.5
COMPLEMENT_ACTIVATION	OV	TMX2|51075	+	SE	chr11:57505140-57505308:57505498-57505826		2.8438	-0.2968	50
COMPLEMENT_ACTIVATION	OV	CCDC88B|283234	+	A5	chr11:64110802-64110979:64110797-64110979		2.8376	-0.3016	93.75
COMPLEMENT_ACTIVATION	OV	FNBP1|23048	-	SE	chr9:132671278-132686123:132686275-132687239		2.7756	-0.3837	56.25
COMPLEMENT_ACTIVATION	OV	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.7637	-0.4017	68.75
COMPLEMENT_ACTIVATION	OV	ACAA1|30	-	MX	chr3:38169357-38170781:38170879-38173417:38169357-38173087:38173129-38173417		2.7438	-0.2875	75
COMPLEMENT_ACTIVATION	OV	CFP|5199	-	RI	chrX:47487501:47487676-47488923:47489073		2.7289	-0.3168	37.5
COMPLEMENT_ACTIVATION	OV	FKBP7|51661	-	SE	chr2:179334512-179337756:179337869-179341789		2.7228	-0.3735	50
COMPLEMENT_ACTIVATION	OV	TYMP|1890	-	A3	chr22:50968183-50968333:50968160-50968333		2.7086	0.1316	31.25
COMPLEMENT_ACTIVATION	OV	LST1|7940	+	A3	chr6:31555743-31556274:31555743-31556295		2.6689	0.2509	68.75
COMPLEMENT_ACTIVATION	OV	ALAS1|211	+	SE	chr3:52232271-52232688:52232864-52233237		2.6617	-0.2874	25
COMPLEMENT_ACTIVATION	OV	CELF2|10659	+	RI	chr10:11370889:11371060-11372419:11373419		2.5583	0.425	81.25
COMPLEMENT_ACTIVATION	OV	IL10RA|3587	+	A3	chr11:117857249-117857322:117857249-117857399		2.5493	0.1971	56.25
COMPLEMENT_ACTIVATION	OV	SGCD|6444	+	SE	chr5:155754242-155756544:155756589-155771499		2.5311	0.3475	68.75
COMPLEMENT_ACTIVATION	OV	PSTPIP1|9051	+	SE	chr15:77324735-77325203:77325293-77327849		2.5222	0.2616	68.75
COMPLEMENT_ACTIVATION	OV	CLN3|1201	-	A5	chr16:28500707-28502803:28500707-28503035		2.4659	0.2714	37.5
COMPLEMENT_ACTIVATION	OV	CD84|8832	-	SE	chr1:160519769-160520728:160520825-160523168		2.4548	0.2601	50
COMPLEMENT_ACTIVATION	OV	CD96|10225	+	A3	chr3:111343251-111356043:111343251-111356046		2.4499	-0.392	43.75
COMPLEMENT_ACTIVATION	OV	CTNND1|1500	+	SE	chr11:57529518-57556509:57556627-57558857		2.4485	0.2612	62.5
COMPLEMENT_ACTIVATION	OV	TPT1|7178	-	A3	chr13:45914920-45915177:45914319-45915177		2.4215	0.3732	12.5
COMPLEMENT_ACTIVATION	OV	LOC96610|96610	+	SE	chr22:22664766-22673082:22673132-22673254		2.4204	0.4311	81.25
COMPLEMENT_ACTIVATION	OV	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		2.4107	0.4763	68.75
COMPLEMENT_ACTIVATION	OV	IRF4|3662	+	A3	chr6:395935-397108:395935-397111		2.4073	0.1815	50
COMPLEMENT_ACTIVATION	OV	ITGB7|3695	-	SE	chr12:53594230-53594856:53594978-53600986		2.4065	0.3023	75
COMPLEMENT_ACTIVATION	OV	SEC31A|22872	-	SE	chr4:83750211-83763338:83763634-83765539		2.4027	-0.378	93.75
COMPLEMENT_ACTIVATION	OV	CD72|971	-	A5	chr9:35618118-35618219:35618118-35618269		2.3793	0.328	68.75
COMPLEMENT_ACTIVATION	OV	ARHGAP30|257106	-	SE	chr1:161024495-161026178:161026322-161029404		2.3601	0.4032	68.75
COMPLEMENT_ACTIVATION	OV	NOS3|4846	+	SE	chr7:150688388-150690841:150691049-150692291		2.3102	0.26	56.25
COMPLEMENT_ACTIVATION	OV	NAGS|162417	+	RI	chr17:42083897:42084077-42084691:42084862		2.3002	0.2962	50
COMPLEMENT_ACTIVATION	OV	LAT2|7462	+	SE	chr7:73635064-73635967:73636022-73638054		2.2802	0.3028	68.75
COMPLEMENT_ACTIVATION	OV	SERPINA1|5265	-	A5	chr14:94855347-94856757:94855347-94856794		2.2707	0.1782	43.75
COMPLEMENT_ACTIVATION	OV	ACP5|54	-	SE	chr19:11688494-11689400:11689472-11689659		2.2588	0.1567	50
COMPLEMENT_ACTIVATION	OV	PDLIM7|9260	-	A3	chr5:176917594-176917871:176916833-176917871		2.2518	-0.2626	6.25
COMPLEMENT_ACTIVATION	OV	GIGYF2|26058	+	SE	chr2:233562102-233565295:233565364-233568134		2.2366	-0.2145	43.75
COMPLEMENT_ACTIVATION	OV	KALRN|8997	+	SE	chr3:124352800-124356055:124356150-124369655		2.2222	-0.3162	25
COMPLEMENT_ACTIVATION	OV	VPS39|23339	-	SE	chr15:42483758-42484264:42484296-42492094		2.2208	-0.3376	56.25
COMPLEMENT_ACTIVATION	OV	LAIR1|3903	-	A3	chr19:54872816-54875902:54872813-54875902		2.1956	-0.0444	75
COMPLEMENT_ACTIVATION	OV	POSTN|10631	-	SE	chr13:38144806-38145506:38145595-38151890		2.1863	-0.0118	18.75
COMPLEMENT_ACTIVATION	OV	CNNM2|54805	+	SE	chr10:104828479-104831531:104831596-104835843		2.184	-0.2837	43.75
COMPLEMENT_ACTIVATION	OV	APOL3|80833	-	A3	chr22:36545419-36556717:36545190-36556717		2.1804	-0.062	56.25
COMPLEMENT_ACTIVATION	OV	MEIS3|56917	-	A3	chr19:47910823-47912356:47910685-47912356		2.1796	-0.16	12.5
COMPLEMENT_ACTIVATION	OV	CCDC14|64770	-	SE	chr3:123675274-123675587:123675642-123679991		2.1701	0.26	31.25
COMPLEMENT_ACTIVATION	OV	TSNAXIP1|55815	+	RI	chr16:67859570:67859739-67859820:67859979		2.1697	0.1162	37.5
COMPLEMENT_ACTIVATION	OV	IL7R|3575	+	SE	chr5:35871315-35873582:35873750-35875614		2.1533	0.32	43.75
COMPLEMENT_ACTIVATION	OV	PCMTD1|115294	-	SE	chr8:52758323-52773405:52773806-52811490		2.1519	0.1243	12.5
COMPLEMENT_ACTIVATION	OV	DUSP28|285193	+	RI	chr2:241500747:241500936-241503091:241503430		2.1403	-0.0884	56.25
COMPLEMENT_ACTIVATION	OV	PDE4DIP|9659	-	A5	chr1:144881622-144882446:144881622-144882776		2.1325	-0.3506	56.25
COMPLEMENT_ACTIVATION	OV	DUS4L|11062	+	SE	chr7:107211711-107214149:107214328-107215633		2.1288	-0.2604	68.75
COMPLEMENT_ACTIVATION	OV	ZNRF1|84937	+	A3	chr16:75140469-75141631:75140469-75141736		2.1273	-0.2925	50
COMPLEMENT_ACTIVATION	OV	P2RY6|5031	+	SE	chr11:72975694-72983352:72983511-73006775		2.1227	0.2576	75
COMPLEMENT_ACTIVATION	OV	C17orf87|388325	-	A5	chr17:5124645-5126628:5124645-5126649		2.1218	0.225	87.5
COMPLEMENT_ACTIVATION	OV	PI4KB|5298	-	SE	chr1:151288985-151298648:151298849-151299747		2.1204	-0.0819	37.5
COMPLEMENT_ACTIVATION	OV	NSUN7|79730	+	SE	chr4:40800921-40809078:40809201-40810324		2.1131	-0.2152	31.25
COMPLEMENT_ACTIVATION	OV	ANKRD10|55608	-	SE	chr13:111545610-111555823:111555886-111558380		2.1115	-0.3068	62.5
COMPLEMENT_ACTIVATION	OV	OSBPL8|114882	-	SE	chr12:76844768-76853639:76853675-76881290		2.104	-0.2809	31.25
COMPLEMENT_ACTIVATION	OV	EGR2|1959	-	RI	chr10:64571760:64572037-64572039:64574228		2.1003	-0.0312	31.25
COMPLEMENT_ACTIVATION	OV	ZNF135|7694	+	SE	chr19:58570678-58571337:58571403-58572948		2.0997	0.1591	25
COMPLEMENT_ACTIVATION	OV	SLAMF6|114836	-	SE	chr1:160461178-160465851:160466183-160492934		2.0957	0.2126	31.25
COMPLEMENT_ACTIVATION	OV	HOXB3|3213	-	A3	chr17:46629994-46632893:46629452-46632893		2.0888	-0.1536	37.5
COMPLEMENT_ACTIVATION	OV	SLC37A2|219855	+	SE	chr11:124953773-124954130:124954215-124954721		2.0741	0.326	68.75
COMPLEMENT_ACTIVATION	OV	RBPJ|3516	+	SE	chr4:26322670-26364068:26364250-26387975		2.0571	0.1689	43.75
COMPLEMENT_ACTIVATION	OV	SIGLEC10|89790	-	SE	chr19:51917769-51918078:51918362-51918435		2.0355	0.2162	68.75
COMPLEMENT_ACTIVATION	OV	NDRG4|65009	+	A3	chr16:58534173-58537610:58534173-58537702		2.0251	-0.2061	31.25
COMPLEMENT_ACTIVATION	OV	WDR65|149465	+	A3	chr1:43638124-43638403:43638124-43638406		2.0101	-0.3407	18.75
COMPLEMENT_ACTIVATION	OV	TFEC|22797	-	SE	chr7:115596847-115614224:115614310-115624316		2.0076	0.2614	75
COMPLEMENT_ACTIVATION	OV	CDK10|8558	+	A5	chr16:89755732-89756961:89755714-89756961		2.0023	0.1715	56.25
COMPLEMENT_ACTIVATION	OV	CHFR|55743	-	SE	chr12:133438220-133446205:133446420-133447310		2.0018	-0.0595	50
COMPLEMENT_ACTIVATION	OV	FIP1L1|81608	+	SE	chr4:54257306-54257597:54257665-54265897		1.998	-0.3241	37.5
COMPLEMENT_ACTIVATION	OV	SEPT1|1731	-	SE	chr16:30392794-30393081:30393204-30393414		1.9802	0.2885	68.75
COMPLEMENT_ACTIVATION	OV	DERL3|91319	-	RI	chr22:24176691:24177119-24179251:24179341		1.9796	-0.3165	37.5
COMPLEMENT_ACTIVATION	OV	MEF2C|4208	-	SE	chr5:88056942-88057086:88057145-88100415		1.9776	-0.2252	12.5
COMPLEMENT_ACTIVATION	OV	CELF2|10659	+	A3	chr10:11356221-11363152:11356221-11363170		1.9758	-0.3324	68.75
COMPLEMENT_ACTIVATION	OV	CLEC5A|23601	-	SE	chr7:141635750-141643696:141643764-141645141		1.9755	0.215	37.5
COMPLEMENT_ACTIVATION	OV	MKNK1|8569	-	SE	chr1:47024472-47025906:47025949-47027150		1.9745	0.3555	25
COMPLEMENT_ACTIVATION	OV	RPAIN|84268	+	MX	chr17:5326149-5329291:5329402-5331391:5326149-5329556:5329619-5331391		1.9681	-0.1939	37.5
COMPLEMENT_ACTIVATION	OV	LST1|7940	+	SE	chr6:31555095-31555418:31555510-31556340		1.9673	0.2632	75
COMPLEMENT_ACTIVATION	OV	SIT1|27240	-	SE	chr9:35650412-35650499:35650634-35650751		1.9638	0.2329	81.25
COMPLEMENT_ACTIVATION	OV	DENND1B|163486	-	SE	chr1:197684204-197704716:197704926-197741998		1.9627	-0.0651	6.25
COMPLEMENT_ACTIVATION	OV	C11orf74|119710	+	SE	chr11:36631789-36654834:36654988-36669566		1.9498	-0.2416	43.75
COMPLEMENT_ACTIVATION	OV	SH3YL1|26751	-	A5	chr2:219001-224864:219001-224868		1.9478	0.2405	43.75
