# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
PROTEIN_SECRETION	LIHC	ATP11C|286410	-	MX	chrX:138811121-138813810:138813914-138820075:138811121-138819890:138819955-138820075		3.9217	0.6167	62.5
PROTEIN_SECRETION	LIHC	DNAJC3|5611	+	SE	chr13:96377506-96409898:96410050-96412294		3.8881	0.6414	56.25
PROTEIN_SECRETION	LIHC	MANBA|4126	-	SE	chr4:103635718-103644028:103644198-103645019		3.693	0.636	75
PROTEIN_SECRETION	LIHC	CYLD|1540	+	SE	chr16:50776752-50778641:50778777-50783487		3.6222	0.451	75
PROTEIN_SECRETION	LIHC	ITIH4|3700	-	A3	chr3:52852226-52852273:52852184-52852273		3.517	-0.6428	25
PROTEIN_SECRETION	LIHC	COL18A1|80781	+	A3	chr21:46925345-46925749:46925345-46925752		3.5051	-0.6132	50
PROTEIN_SECRETION	LIHC	C19orf6|91304	-	MX	chr19:1010894-1010990:1011094-1011366:1010894-1011095:1011194-1011366		3.4341	-0.6299	37.5
PROTEIN_SECRETION	LIHC	RNGTT|8732	-	SE	chr6:89638986-89650790:89650899-89673065		3.4341	0.5632	37.5
PROTEIN_SECRETION	LIHC	RIPK1|8737	+	SE	chr6:3078169-3081213:3081350-3083319		3.4314	0.6434	56.25
PROTEIN_SECRETION	LIHC	DYSF|8291	+	SE	chr2:71766369-71776480:71776521-71778171		3.3666	-0.047	37.5
PROTEIN_SECRETION	LIHC	ZFP64|55734	-	SE	chr20:50781296-50782403:50782564-50803371		3.351	0.475	18.75
PROTEIN_SECRETION	LIHC	MORF4L2|9643	-	SE	chrX:102931979-102933427:102933528-102940099		3.1871	0.5267	37.5
PROTEIN_SECRETION	LIHC	ZDHHC5|25921	+	SE	chr11:57435659-57439493:57440666-57449894		3.1608	0.6326	87.5
PROTEIN_SECRETION	LIHC	ITGB1|3688	-	MX	chr10:33190563-33195393:33195490-33197296:33190563-33195991:33196071-33197296		3.1451	0.509	50
PROTEIN_SECRETION	LIHC	COL18A1|80781	+	RI	chr21:46924330:46924426-46924436:46924470		3.1305	-0.6132	56.25
PROTEIN_SECRETION	LIHC	SLC35A1|10559	+	A5	chr6:88218314-88218759:88218184-88218759		3.1092	0.2193	6.25
PROTEIN_SECRETION	LIHC	CHCHD7|79145	+	SE	chr8:57124396-57125321:57125468-57127157		3.0607	0.1625	43.75
PROTEIN_SECRETION	LIHC	MMRN1|22915	+	SE	chr4:90849119-90855961:90857949-90872756		3.0576	0.6036	25
PROTEIN_SECRETION	LIHC	PPP2R3C|55012	-	SE	chr14:35579835-35585816:35585943-35591108		3.0411	0.5476	25
PROTEIN_SECRETION	LIHC	PPP2R2D|55844	+	A3	chr10:133754198-133757472:133754198-133757599		2.9392	0.4669	25
PROTEIN_SECRETION	LIHC	SFRS16|11129	+	A5	chr19:45561156-45562526:45561140-45562526		2.935	-0.5056	43.75
PROTEIN_SECRETION	LIHC	KIF21A|55605	-	SE	chr12:39726909-39727014:39727082-39730898		2.9328	0.133	31.25
PROTEIN_SECRETION	LIHC	SDAD1|55153	-	SE	chr4:76897148-76898799:76898909-76902525		2.926	0.612	37.5
PROTEIN_SECRETION	LIHC	LIN54|132660	-	A5	chr4:83900159-83905314:83900159-83905977		2.9191	0.5717	50
PROTEIN_SECRETION	LIHC	ELN|2006	+	A3	chr7:73457364-73457433:73457364-73457448		2.906	0.2589	18.75
PROTEIN_SECRETION	LIHC	ZHX1|11244	-	A5	chr8:124279626-124286362:124279626-124286457		2.8361	-0.5843	50
PROTEIN_SECRETION	LIHC	C2|717	+	SE	chr6:31901560-31901644:31901742-31903700		2.8106	0.4336	37.5
PROTEIN_SECRETION	LIHC	NAP1L4|4676	-	SE	chr11:2966876-2970457:2970494-2972489		2.7986	-0.5881	62.5
PROTEIN_SECRETION	LIHC	THTPA|79178	+	A5	chr14:24026513-24027904:24026248-24027904		2.7982	-0.1553	18.75
PROTEIN_SECRETION	LIHC	RABGEF1|27342	+	SE	chr7:66240380-66248662:66248828-66260498		2.7974	0.5858	75
