# Column descriptions
# Gene                 : Symbol | ID
# AS_event_type        : RI (Retained intron); A3 (Alternative 3' splice site); A5 (Alternative 5' splice site); 
#                        MX (Mutual exclusive exons); SE (Skipped exon)
# AS_event_ID          : ID in SUPPA2 format 
# Text_mining_gene     : "Observed", when the AS gene is also identified by text-mining analysis; "", otherwise
# AS_event_importance  : Measured as the learned Random Forest (RF) model's feature importance 
#                        (higher, the more important)
# AS_event_correlation : Measured as the spearman's correlation between GSVA scores (degree of pathway enrichment)
#                        and PSI values
# Cancer_recurrence    : Cancer type recurrence (% out of 16 cancer types) of which the AS event shows 
#                        positive feature importance (RF model)
Pathway	Cancer	Gene	Strand	AS_event_type	AS_event_ID	Text_mining_gene	AS_event_importance	AS_event_correlation	Cancer_recurrence
NFKB_PATHWAY	LUAD	FMNL3|91010	-	SE	chr12:50050973-50052225:50052377-50055749		4.6244	-0.4244	81.25
NFKB_PATHWAY	LUAD	MGAT1|4245	-	A5	chr5:180220097-180230602:180220097-180230813		4.5852	0.5102	75
NFKB_PATHWAY	LUAD	FMNL3|91010	-	SE	chr12:50039686-50040422:50040536-50040669		4.2144	-0.4058	68.75
NFKB_PATHWAY	LUAD	DENND1C|79958	-	RI	chr19:6475495:6475596-6475717:6475762		4.0694	-0.4337	93.75
NFKB_PATHWAY	LUAD	CYBASC3|220002	-	A3	chr11:61117894-61118463:61117115-61118463		4.0504	0.3692	37.5
NFKB_PATHWAY	LUAD	CD97|976	+	SE	chr19:14507285-14507889:14508035-14508470		4.0476	0.2957	50
NFKB_PATHWAY	LUAD	KMO|8564	+	A3	chr1:241752132-241753314:241752132-241753353		4.0253	-0.422	62.5
NFKB_PATHWAY	LUAD	BIN2|51411	-	SE	chr12:51693498-51695804:51695899-51696470		3.7241	0.24	62.5
NFKB_PATHWAY	LUAD	SLC37A2|219855	+	SE	chr11:124953773-124954130:124954215-124954721		3.7123	0.3988	62.5
NFKB_PATHWAY	LUAD	TRPM2|7226	+	A3	chr21:45845710-45846543:45845710-45846583		3.6908	0.4538	93.75
NFKB_PATHWAY	LUAD	C9orf7|11094	+	SE	chr9:136328677-136330444:136330569-136333043		3.4471	0.2223	37.5
NFKB_PATHWAY	LUAD	KIAA1908|114796	+	RI	chr7:1624020:1625253-1627457:1629259		3.3489	0.3443	18.75
NFKB_PATHWAY	LUAD	PHLDB1|23187	+	SE	chr11:118502770-118502876:118503013-118506111		3.2064	0.3684	56.25
NFKB_PATHWAY	LUAD	FDPS|2224	+	A5	chr1:155278867-155279855:155278756-155279855		3.171	-0.292	43.75
NFKB_PATHWAY	LUAD	RINL|126432	-	RI	chr19:39358474:39359806-39359887:39360050		3.123	-0.3597	62.5
NFKB_PATHWAY	LUAD	FGD2|221472	+	A3	chr6:36982814-36983544:36982814-36983576		3.0803	0.3685	62.5
NFKB_PATHWAY	LUAD	LAT2|7462	+	SE	chr7:73624418-73629152:73629270-73630277		2.9869	0.299	50
NFKB_PATHWAY	LUAD	AMPD3|272	+	SE	chr11:10483287-10500073:10500277-10503610		2.9791	0.3394	43.75
NFKB_PATHWAY	LUAD	SERPINA1|5265	-	SE	chr14:94855000-94855156:94855347-94856794		2.9154	0.1407	37.5
NFKB_PATHWAY	LUAD	TMEM106A|113277	+	A3	chr17:41363941-41364224:41363941-41364246		2.7926	-0.0582	31.25
NFKB_PATHWAY	LUAD	CLEC5A|23601	-	SE	chr7:141635750-141643696:141643764-141645141		2.7848	0.3055	62.5
NFKB_PATHWAY	LUAD	SCARB1|949	-	SE	chr12:125263132-125267229:125267357-125270903		2.7729	-0.357	12.5
NFKB_PATHWAY	LUAD	PNPLA7|375775	-	A3	chr9:140409974-140414369:140409971-140414369		2.7724	-0.3282	31.25
NFKB_PATHWAY	LUAD	KCNN4|3783	-	A3	chr19:44273712-44273871:44273650-44273871		2.7205	0.2543	56.25
NFKB_PATHWAY	LUAD	KIAA1908|114796	+	A5	chr7:1610169-1614351:1609915-1614351		2.7057	-0.3443	37.5
NFKB_PATHWAY	LUAD	EPB41|2035	+	SE	chr1:29379824-29386934:29386996-29391494		2.7054	-0.2325	50
NFKB_PATHWAY	LUAD	PPHLN1|51535	+	SE	chr12:42720031-42726462:42726504-42729685		2.6724	0.1281	31.25
NFKB_PATHWAY	LUAD	SNRNP70|6625	+	A5	chr19:49606844-49607891:49605430-49607891		2.6724	0.1911	37.5
NFKB_PATHWAY	LUAD	CYBB|1536	+	SE	chrX:37639375-37641341:37641436-37642743		2.6629	0.3347	37.5
NFKB_PATHWAY	LUAD	ZNF268|10795	+	RI	chr12:133778730:133781233-133781235:133781730		2.6502	0.0692	25
